jahr,n,n_paare,mean_global,sd_global,mean_nn,kontrast,q90_global,q50_global,q10_global,PR,dim90
2016,14412,103845666,0.25979223880797,0.0930310359721675,0.629838961700016,0.370046722892046,0.378446173197175,0.251262124924999,0.151184768419354,96.6438390836212,123
2017,14412,103845666,0.249717088914069,0.0861077108868458,0.630804045541881,0.381086956627812,0.356162431635139,0.243496028603581,0.148396252412726,94.8576572142129,123
2018,14412,103845666,0.24391150640627,0.0828874541454349,0.639528301598611,0.395616795192341,0.343921384883098,0.238603857392636,0.146427097535535,94.8997594759644,122
2019,14412,103845666,0.2437738977962,0.0823009639605396,0.657592521840258,0.413818624044058,0.342293713530099,0.238481301732764,0.14728950355404,93.9363534697493,120
2020,14412,103845666,0.246970588499655,0.0814130052754156,0.673801724461569,0.426831135961914,0.343437243281298,0.241723475117041,0.151880523366832,91.6162165227951,119
2021,14412,103845666,0.248883807891995,0.0821756840235292,0.681222021057218,0.432338213165223,0.346557193372236,0.243104316886227,0.153430102615922,88.8655876756369,118
2022,14412,103845666,0.24800200700111,0.0833137179467856,0.687049130200614,0.439047123199504,0.34664354031963,0.242052338991879,0.151508679368711,85.9868727586346,119
2023,14412,103845666,0.25177486860214,0.0845813360776421,0.692323777504101,0.440548908901961,0.352693322502115,0.24536732708151,0.153978740013054,83.4077622906253,119
2024,14412,103845666,0.248190788090643,0.0859091167871934,0.694433322053941,0.446242533963299,0.351076066445597,0.241785011413428,0.148714478560906,83.2625655868755,119
