jahr,eta2,between,within,between_var,mean_within_var
2016,0.1568537116577125,1489.0041935524077,8003.944221986048,0.24687939505267198,0.6927461857701471
2017,0.185262667114209,1840.5090418560958,8094.083126794245,0.31282787258510414,0.704110534220381
2018,0.1783174826419963,1883.4830828457798,8679.043120079614,0.32311042349879365,0.7323138280098108
2019,0.19831001389319655,2078.261832308208,8401.601445940027,0.34773040325535576,0.7491663012001697
2020,0.19229728251358683,1950.0511325616935,8190.763688489727,0.32525647204095326,0.6905806419957637
2021,0.20898757373268217,2161.1205304803752,8179.783916042762,0.3307637542687177,0.690265572614722
2022,0.20943579855059127,2232.246306516835,8426.133597803171,0.3441985836010057,0.7281097084272058
2023,0.1880422864878242,1861.5072999909232,8037.900619149948,0.3168472664115276,0.6818236241305043
2024,0.2189550459336948,2256.13935112728,8047.981942384708,0.33294610164239186,0.7303536976727445
