kohorte,n_kohorte,n_graph,moran_kohorte,anteil_neu_am_graph,moran_alt,moran_global
2017,1708,16860,0.3237438932823217,0.10130486358244366,0.32329264060187585,0.3233383546931097
2018,1668,18460,0.31679378629655164,0.09035752979414952,0.3802770547525928,0.3713041865527003
2019,1951,20372,0.29614029569969075,0.09576870214019242,0.38790292734918796,0.37305633129419963
2020,2212,22492,0.3239587913724494,0.09834607860572649,0.42256671680258345,0.4030683478424111
2021,1905,24347,0.3893435802716754,0.07824372612642215,0.43393088769450133,0.4277189318966946
2022,1614,25842,0.3996768529480495,0.062456466217785,0.43796675515817374,0.4579277229058586
2023,1242,26563,0.3724895808846836,0.046756766931445995,0.4438777589441805,0.45390412739163927
2024,331,25987,0.46120417688243215,0.012737137799669066,0.4425325606138494,0.47671363740605155
