Cluster,n 2016,n 2024,z 2016,z 2024,Beitrag,Kennzeichnende Wörter 2016
54,50,50,"−0,32","0,23","−0,0003","plant, plants, soil, leaves, grow, water, tree, garden"
12,281,280,"0,31","0,21","−0,0003","car, cars, engine, miles, drive, tires, driving, truck"
33,65,65,"−0,51","−0,52","−0,0004","book, books, read, writing, story, reading, series, fantasy"
59,73,73,"0,33","0,10","−0,0004","games, emunand, game, homebrew, snes, cfw, nes, install"
10,55,55,"−0,55","−0,53","−0,0004","bike, bikes, ride, riding, motorcycle, road, helmet, rider"
58,148,148,"−0,21","−0,20","−0,0004","vegan, meat, recipe, food, cheese, sauce, chicken, cook"
23,170,147,"−0,17","−0,16","−0,0005","weed, drugs, lsd, dose, drug, trip, mdma, take"
44,45,45,"0,63","0,43","−0,0005","wear, watch, pair, leather, fit, shoes, watches, jeans"
47,56,56,"−0,38","−0,30","−0,0005","flag, war, history, map, country, german, germany, british"
34,30,30,"−1,12","−1,07","−0,0006","nyc, manhattan, brooklyn, city, park, apartment, rent, subway"
2,72,68,"0,48","−0,35","−0,0006","bitcoin, btc, ethereum, eth, blockchain, wallet, fork, dao"
72,76,72,"−0,27","0,03","−0,0006","baby, husband, weeks, pregnant, pregnancy, kids, sleep, son"
22,660,657,"−0,28","−0,33","−0,0007","song, music, album, songs, guitar, band, sound, bass"
82,84,83,"−0,45","−0,42","−0,0007","pain, doctor, symptoms, treatment, doctors, blood, cancer, help"
30,39,36,"−0,52","−0,36","−0,0007","opie, show, spaceedge, howard, podcast, funny, episode, anthony"
69,51,50,"0,61","0,35","−0,0008","credit, money, pay, debt, tax, income, loan, account"
29,71,71,"−0,84","−0,83","−0,0008","character, spell, players, party, level, spells, campaign, roll"
78,40,35,"0,60","0,28","−0,0008","legion, raid, dps, guild, mythic, blizzard, wow, server"
75,191,187,"−0,36","−0,36","−0,0008","feel, life, relationship, friends, anxiety, day, talk, help"
38,32,32,"1,13","0,88","−0,0009","army, military, navy, recruiter, duty, school, job, unit"
11,40,40,"0,59","0,12","−0,0010","race, car, racing, cars, driver, drivers, nascar, hamilton"
57,92,90,"0,41","−0,02","−0,0012","weight, calories, eat, fat, lbs, gym, day, eating"
45,33,33,"−0,76","−0,41","−0,0015","seattle, mariners, seahawks, year, game, team, portland, season"
20,51,47,"0,71","0,24","−0,0018","size, supreme, shoes, pair, tee, hoodie, black, adidas"
24,67,62,"−0,54","0,15","−0,0019","unpaid, original, paypal, borrower, date, lender, paid, loans"
92,1150,1064,"0,31","0,01","−0,0071","game, hero, dota, bible, games, team, true, play"
60,52,51,"−1,49","−0,90","−0,0075","questions, flair, askscience, physics, question, science, contain, math"
