jahr,n_core,n_edges,komp,module_all,module_min,Q,top2,rosenbluth
2016,6252,167546,6063,806,261,0.5437295172580187,0.24664107485604606,0.003762987181045908
2017,6415,84789,5733,743,295,0.6726302799720896,0.18207326578332034,0.0037643598739775645
2018,7071,74715,5051,815,340,0.6494893681004877,0.16221185122330647,0.003304939180425562
2019,8784,80250,3939,835,381,0.7442775804391916,0.13979963570127504,0.0032867141763495773
2020,9855,90476,3081,774,401,0.7798795526586152,0.1710806697108067,0.003744322251076659
2021,10366,97412,2723,830,425,0.8018111706409434,0.15155315454370055,0.003501731272696563
2022,10992,109418,2421,933,446,0.7991092618491522,0.13218704512372634,0.0031891429874540645
2023,11494,118798,2165,828,432,0.7962128200348679,0.13328693231251088,0.003689506253286177
2024,11676,117722,2110,734,420,0.7903559356517844,0.12195957519698526,0.0042720219879610645
