linie,jahr,cluster,anteil_alt,anteil_neu,jaccard,intakt,intakt_ja,n_c,mittel,w,d,b
0,2016,0,NA,NA,NA,TRUE,TRUE,30,0.33660288343544076,0.002741979709350151,0.29482793389365264,2.3834250234165073e-4
0,2017,1,1,0.9375,0.9375,TRUE,TRUE,32,0.40352174648355005,0.002604802604802605,0.4071740696216489,4.3185210705023796e-4
0,2018,1,1,0.8888888888888888,0.8888888888888888,TRUE,TRUE,36,0.7200993002260898,0.0027913468248429866,0.72900315816197,0.001483449001005237
0,2019,1,0.9722222222222222,0.813953488372093,0.7954545454545454,TRUE,TRUE,43,-0.15567640527689927,0.0028082549634273774,-0.23685408367017047,1.5754270173087468e-4
0,2020,1,0.9534883720930233,0.9111111111111111,0.8723404255319149,TRUE,TRUE,45,-0.0835909109883618,0.0027031897639214274,-0.16478629211539225,7.340382610147609e-5
0,2021,1,1,0.9782608695652174,0.9782608695652174,TRUE,TRUE,46,0.3864772939008185,0.002508452393936089,0.3056186787901166,2.3429641912799421e-4
0,2022,2,0.9565217391304348,0.8979591836734694,0.8627450980392157,TRUE,TRUE,49,-0.021307419601290525,0.0025685380300885883,-0.07037428398585832,1.272078694132146e-5
0,2023,1,1,0.9423076923076923,0.9423076923076923,TRUE,TRUE,52,0.8001668564769641,0.002659846547314578,0.6522717954616559,0.0011316543093630772
0,2024,6,0.9230769230769231,1,0.9230769230769231,TRUE,TRUE,48,0.08408295019452262,0.0024821594787465093,0.13119549631060307,4.2723569971294965e-5
1,2016,1,NA,NA,NA,TRUE,TRUE,139,0.27255312932108505,0.0127045059866557,0.23077817977929693,6.766237993284091e-4
1,2017,0,0.9928057553956835,0.92,0.9139072847682119,TRUE,TRUE,150,1.2554225282479015,0.01221001221001221,1.2590748513860004,0.019356159723964334
1,2018,0,0.9866666666666667,0.9548387096774194,0.9426751592356688,TRUE,TRUE,155,-0.18322529603447008,0.012018298829185082,-0.1743214380985899,3.6521162952763277e-4
1,2019,0,0.9870967741935484,0.9444444444444444,0.9329268292682927,TRUE,TRUE,162,1.1950024859698327,0.010579937304075235,1.1138248075765615,0.013125530545952209
1,2020,0,0.9876543209876543,0.9523809523809523,0.9411764705882353,TRUE,TRUE,168,0.8196283127501537,0.010091908451973329,0.7384329316231233,0.005502948079349277
1,2021,0,0.9940476190476191,0.9329608938547486,0.9277777777777778,TRUE,TRUE,179,1.5127681625300111,0.009761151706838259,1.4319095474193093,0.02001392335076411
1,2022,1,0.994413407821229,0.9726775956284153,0.967391304347826,TRUE,TRUE,183,1.0804386387783138,0.00959270325522881,1.031371774393746,0.010204024525551558
1,2023,0,0.9726775956284153,0.967391304347826,0.9417989417989417,TRUE,TRUE,184,0.7554372236735606,0.009411764705882352,0.6075421626582524,0.0034739527473643898
1,2024,0,0.9891304347826086,0.9837837837837838,0.9732620320855615,TRUE,TRUE,185,0.24673907225872882,0.009566656324335504,0.2938516183748092,8.260690412646853e-4
2,2016,2,NA,NA,NA,TRUE,TRUE,72,0.4833657693110138,0.006580751302440362,0.4415908197692257,0.0012832626406654682
2,2017,2,0.9305555555555556,0.475177304964539,0.4589041095890411,TRUE,FALSE,141,-0.6268785939744143,0.011477411477411478,-0.6232262708363154,0.00445795269329558
2,2018,3,0.9858156028368794,0.695,0.6881188118811881,TRUE,FALSE,200,0.2882564368436808,0.015507482360238816,0.29716029477956096,0.0013693764564391032
2,2019,4,0.93,0.8773584905660378,0.8230088495575221,TRUE,FALSE,212,-0.37844866103723585,0.013845350052246604,-0.459626339430507,0.002924918419699385
2,2020,3,0.9386792452830188,0.8923766816143498,0.8432203389830508,TRUE,FALSE,223,0.3145249228986424,0.01339580705232174,0.23332954177161197,7.293035705608905e-4
2,2021,3,0.9237668161434978,0.6338461538461538,0.6023391812865497,TRUE,FALSE,325,0.4644934066194827,0.01772276147889628,0.3836347915087808,0.00260835899815658
2,2022,25,0.9446153846153846,0.8976608187134503,0.8527777777777777,TRUE,FALSE,342,0.4995238834273737,0.01792734706714892,0.4504570190428059,0.003637665350615208
2,2023,25,0.9064327485380117,0.8882521489971347,0.8136482939632546,TRUE,FALSE,349,-0.1949096218235873,0.017851662404092073,-0.3428046828388954,0.0020978390102874794
2,2024,48,0.8538681948424068,0.9254658385093167,0.7989276139410187,TRUE,FALSE,322,-0.7855654223364528,0.0166511531699245,-0.7384528762203724,0.00908008446727693
3,2016,3,NA,NA,NA,TRUE,TRUE,1662,0.0028231937715489978,0.15190567589799836,-0.03895175577023911,2.3047725796044235e-4
3,2017,7,0.9632972322503008,0.857066381156317,0.8299637117677553,TRUE,TRUE,1868,-3.607903131381592e-4,0.15205535205535206,0.0032915328249607137,1.6473963219372345e-6
3,2018,19,0.12955032119914348,0.8013245033112583,0.12551867219917012,FALSE,FALSE,302,0.1516819404209042,0.02341629836396061,0.16058579835678435,6.038547869608059e-4
3,2019,36,0.7350993377483444,0.7449664429530202,0.5873015873015873,FALSE,FALSE,298,0.12240579050180447,0.019461859979101357,0.04122811210853329,3.308043717045906e-5
3,2020,42,0.5704697986577181,0.8994708994708994,0.5362776025236593,FALSE,FALSE,189,0.5508407960683371,0.011353397008469995,0.4696454149413067,0.0025041826263920894
3,2021,76,0.7619047619047619,0.7461139896373057,0.6050420168067226,FALSE,FALSE,193,0.1605092040903223,0.01052459373977533,0.07965058897962045,6.67702994157751e-5
3,2022,88,0.5751295336787565,0.8604651162790697,0.5260663507109005,FALSE,FALSE,129,0.5049126463491789,0.0067620695077842425,0.45584578196461106,0.001405126782230208
3,2023,88,0.7364341085271318,0.6785714285714286,0.5459770114942529,FALSE,FALSE,140,-0.04005288134206411,0.007161125319693095,-0.18794794235737222,2.5296266317605196e-4
3,2024,69,0.6285714285714286,0.8,0.5432098765432098,FALSE,FALSE,110,-0.27462919632443145,0.005688282138794084,-0.22751665020835102,2.94447247565581e-4
4,2016,4,NA,NA,NA,TRUE,TRUE,74,0.1732751539866402,0.006763549949730372,0.13150020444485208,1.1695736028779858e-4
4,2017,4,0.9459459459459459,0.8974358974358975,0.8536585365853658,TRUE,TRUE,78,0.37012222067948697,0.006349206349206349,0.37377454381758585,8.870311721018693e-4
4,2018,6,0.9487179487179487,0.9487179487179487,0.9024390243902439,TRUE,TRUE,78,0.3222701877204501,0.006047918120493138,0.33117404565633024,6.6331297078993e-4
4,2019,3,0.9358974358974359,0.8390804597701149,0.7934782608695652,TRUE,TRUE,87,0.44050536731348866,0.005681818181818182,0.3593276889202175,7.336158410496853e-4
4,2020,4,0.9425287356321839,0.9318181818181818,0.8817204301075269,TRUE,TRUE,88,-0.017784425212531648,0.005286237760557458,-0.09897980633956209,5.178928224578092e-5
4,2021,7,0.9772727272727273,0.945054945054945,0.9247311827956989,TRUE,TRUE,91,-0.17872609722112906,0.0049623732140909585,-0.2595847123318309,3.3438566265417955e-4
4,2022,6,0.9340659340659341,0.8947368421052632,0.8415841584158416,TRUE,TRUE,95,-0.22745747112619868,0.00497981862976359,-0.2765243355107665,3.807853578822006e-4
4,2023,5,1,0.8715596330275229,0.8715596330275229,TRUE,TRUE,109,0.5967313621638785,0.005575447570332481,0.4488363011485703,0.0011231963554952215
4,2024,4,0.963302752293578,0.9292035398230089,0.8974358974358975,TRUE,TRUE,113,0.6425754103326161,0.005843417106215741,0.6896879564486965,0.002779535160386433
5,2016,5,NA,NA,NA,TRUE,TRUE,65,0.5299138752660325,0.005940956036925326,0.4881389257242444,0.0014156086923013671
5,2017,8,0.9846153846153847,0.810126582278481,0.8,TRUE,TRUE,79,0.11589432231223079,0.006430606430606431,0.11954664545032967,9.190237156171913e-5
5,2018,4,0.8987341772151899,0.8658536585365854,0.7888888888888889,TRUE,TRUE,82,0.7753282757815001,0.006358067767697914,0.7842321337173803,0.003910339089982402
5,2019,30,0.9146341463414634,0.8152173913043478,0.7575757575757576,TRUE,TRUE,92,0.027991034973096456,0.0060083594566353185,-0.05318664342017473,1.6996561619908766e-5
5,2020,64,0.9891304347826086,0.8198198198198198,0.8125,TRUE,TRUE,111,0.9063809702095088,0.006667868084339521,0.8251855890824784,0.0045403597923747855
5,2021,71,0.7207207207207207,0.8602150537634409,0.6451612903225806,TRUE,TRUE,93,0.5828319418893457,0.005071436361653398,0.5019733267786439,0.0012778864398593844
5,2022,17,0.956989247311828,0.8240740740740741,0.7946428571428571,TRUE,TRUE,108,0.4806605048109176,0.005661267494889133,0.4315936404263498,0.0010545416789484031
5,2023,92,0.8703703703703703,0.8952380952380953,0.7899159663865546,TRUE,TRUE,105,-1.0947926235583536,0.005370843989769821,-1.2426876845736616,0.008294047649414837
5,2024,72,0.9238095238095239,0.9238095238095239,0.8584070796460177,TRUE,TRUE,105,0.8974094410690022,0.00542972385975799,0.9445219871850826,0.004843974937893579
6,2016,6,NA,NA,NA,TRUE,TRUE,154,-0.04044531134158778,0.014075495841330775,-0.08222026088337589,9.515276301603878e-5
6,2017,9,0.961038961038961,0.891566265060241,0.8604651162790697,TRUE,TRUE,166,0.02335012919363347,0.013512413512413512,0.027002452331732343,9.852338925515772e-6
6,2018,18,0.7228915662650602,0.9448818897637795,0.6936416184971098,TRUE,TRUE,127,-0.45227845008439116,0.009847251298751648,-0.443374592148511,0.0019357827927644435
6,2019,19,0.937007874015748,0.8880597014925373,0.8380281690140845,TRUE,TRUE,134,-0.27345334537651345,0.008751306165099268,-0.3546310237697846,0.0011005919438793587
6,2020,73,0.917910447761194,0.9044117647058824,0.8367346938775511,TRUE,TRUE,136,-0.7370234542057654,0.00816964017540698,-0.8182188353327958,0.005469427554460054
6,2021,48,0.38235294117647056,0.8524590163934426,0.3586206896551724,FALSE,FALSE,61,-0.30438959421023987,0.003326426000654379,-0.3852482093209417,4.936954493338706e-4
6,2022,60,0.9508196721311475,0.2857142857142857,0.2815533980582524,FALSE,FALSE,203,0.009624256625779832,0.010641086124652723,-0.039442607758787954,1.6554543129588546e-5
6,2023,48,0.7733990147783252,0.9573170731707317,0.7476190476190476,FALSE,FALSE,164,0.20894337567181603,0.008388746803069053,0.061048314656507924,3.1263992965401535e-5
6,2024,40,0.9451219512195121,0.950920245398773,0.9011627906976745,FALSE,FALSE,163,-0.200250930986412,0.00842899989657669,-0.15313838487033157,1.9767155249111022e-4
7,2016,7,NA,NA,NA,TRUE,TRUE,60,1.6474866896563862,0.005483959418700302,1.6057117401145982,0.014139348463624081
7,2017,16,1,0.9230769230769231,0.9230769230769231,TRUE,TRUE,65,1.5660908803463909,0.005291005291005291,1.5697432034844898,0.01303753293590343
7,2018,14,0.9384615384615385,0.9384615384615385,0.8840579710144928,TRUE,TRUE,65,1.5063534928409683,0.005039931767077615,1.5152573507768485,0.011571707725859718
7,2019,24,0.9692307692307692,0.8513513513513513,0.8289473684210527,TRUE,TRUE,74,1.3445079244737634,0.004832810867293626,1.2633302460804923,0.007713182144002938
7,2020,8,1,0.7708333333333334,0.7708333333333334,TRUE,TRUE,96,1.8142099102632072,0.005766804829699045,1.7330145291361767,0.01731967191607618
7,2021,15,1,0.9142857142857143,0.9142857142857143,TRUE,TRUE,105,1.2962168671967176,0.0057258152470280295,1.2153582520860158,0.0084575769710942
7,2022,7,0.9809523809523809,0.9196428571428571,0.9035087719298246,TRUE,TRUE,112,1.3126240642433427,0.005870944068773917,1.263557199858775,0.00937341307853825
