jahr,seed_paare,cos_achse_zu_2016,anker_n,anker_score_mean,anker_score_median,anker_score_min,score_sd_roh
2016,10,1.0000000000000002,NA,NA,NA,NA,0.0674784310106055
2017,10,0.36433811387311843,2368,0.7517438759185129,0.7385732540040686,0.6859540885214022,0.06770843841931411
2018,9,0.40743244480585966,2346,0.7349441560790348,0.722081038788223,0.6733026401085576,0.06790029087451524
2019,9,0.4325023411474258,2327,0.7325861361785563,0.722211661196271,0.6688258674405779,0.06832337863506821
2020,9,0.33697767324515093,2346,0.7512788345211413,0.7397895329769706,0.6852386089552163,0.06801113261366047
2021,8,0.285015611095322,2313,0.7636997097293533,0.7516214191504802,0.6943601363791261,0.06794735959939135
2022,8,0.267017139950595,2300,0.7367874827041124,0.7240527012320805,0.6671560255879537,0.07050889409304532
2023,8,0.3117651642947527,2269,0.7395667867808827,0.7257874322035766,0.6661961236933964,0.06860095136225958
2024,8,0.3939640364150071,2252,0.7358471035236497,0.7218914568036539,0.6600449812245661,0.07006370290853048
