jahr,eta2_fixed,eta2_native,omega2_fixed,omega2_native,k_fixed,k_native,n,gap_eta,gap_omega,bench_fixed,bench_native
2016,0.156853711657715,0.156853711657715,0.14953471564585352,0.14953471564585352,95,95,10941,0,0,0.008592321755027423,0.008592321755027423
2017,0.20020933642061728,0.20268739284879903,0.19212108443156134,0.19462398709071718,95,95,9409,0.0024780564281817463,0.0025029026591558423,0.009991496598639456,0.009991496598639456
2018,0.19562985447257025,0.26134131678630745,0.18682385129323476,0.2509611897577435,94,120,8606,0.0657114623137372,0.06413733846450875,0.010807669959325973,0.013829169087739686
2019,0.22121706917103814,0.29355069100154707,0.21291619678754709,0.2821984717699543,95,142,8934,0.07233362183050893,0.06928227498240719,0.010522780700772416,0.015784171051158626
2020,0.21121197276182085,0.29572570252531055,0.20266221645181054,0.2826378251743871,95,161,8786,0.0845137297634897,0.07997560872257659,0.010700056915196357,0.01821286283437678
2021,0.23570376380326213,0.32026111161686666,0.22759821527632976,0.3068047670728592,95,175,8980,0.08455734781360452,0.07920655179652944,0.010468871812005792,0.01937854994988306
2022,0.23536588435543296,0.3290806222383349,0.22704515293837355,0.3138488280396922,95,195,8754,0.09371473788290194,0.08680367510131867,0.010739175139952017,0.02216382954415629
2023,0.22292443867082348,0.36390354589353413,0.2141408146325899,0.3480998861074008,95,205,8430,0.14097910722271065,0.13395907147481087,0.011151975323288646,0.024202159212243446
2024,0.24782038532842424,0.34712844165339185,0.23944550468019962,0.33219891483763786,95,192,8559,0.09930805632496761,0.09275341015743824,0.010983874737088105,0.022318298667913065
