cluster,d_z_linie,d_b_linie,d_z_fix,d_b_fix
0,-0.25251993324091815,-1.9561893237035578e-4,-0.19223578332903407,-1.515157196457156e-4
1,-0.025814057062356233,1.4944524193627614e-4,-0.03466726071499546,2.7413085167281987e-4
2,-1.2689311916474666,0.007796821826611461,-0.8381119856985217,-6.102033185924442e-4
4,0.46930025634597594,0.0026625778000986342,0.4447139979742615,0.002874143863384222
5,0.3674955658029697,0.003428366245592212,0.0587057857168477,9.430477238020942e-4
7,-0.1002699831918119,4.51060057702693e-4,-0.025429298599381367,0.0012827672318122055
10,0.014729535846594755,-9.027902039453945e-4,0.016888633441496936,-4.4384987596215314e-4
11,-0.7583758986911044,-0.0010194400905763484,-0.47033822148312593,-0.0010135678424927272
12,-0.18805044459541584,-0.001366272384001643,-0.10314183124330578,-3.175631304847466e-4
13,0.3638327892185362,0.0015446307544162876,0.07649358249803667,6.916782667481163e-4
14,-0.3609172794358788,0.0036082234352687857,-0.45892355040022226,0.003218364725386729
16,0.36997392092496567,1.5769028945550957e-5,0.4210064852973969,6.266024147309017e-5
17,0.6215677402710907,0.01002511882440263,0.45209968807342615,0.010242044140353403
18,0.33314976623100445,5.871955915468237e-4,0.42959044340739905,0.0015867700117142944
19,-0.15229440163329852,-6.0837964809246114e-5,-0.18573013678725012,5.99576855031787e-4
20,-0.689640033806904,-0.002091846543536293,-0.47178970786823937,-0.0017677482574549705
23,0.6705202751766115,0.0017457303177182716,0.011864013941294438,-4.71573870697027e-4
24,0.7128556923487683,-0.0018194856989001479,0.6826669179234995,-0.0018650702929157948
26,0.7665463939456454,0.03100833006286496,0.5635892963275186,0.02104228030173007
27,1.1063259017462315,0.03531340784549504,-0.4056026586930104,1.9374923574280855e-4
28,0.8158384305163681,0.011196004424628718,0.24265646269235275,0.0021542626372886356
30,1.5502905752891403,0.002071475469750594,0.1570137420012807,-7.475253873352078e-4
31,-0.07288212490751883,3.4575464798573184e-4,0.40127134718635316,0.0016172198956876764
36,-0.5035580593545723,0.006304544156851598,-0.29076103335932074,0.0029165416430550943
37,-0.22074344764924209,2.614293432073811e-4,-0.1531700776643543,2.1587491197269562e-4
38,-0.39240500256177324,-0.0022871953173896576,-0.24849936628067937,-9.109028963329075e-4
39,-0.0063118894908598955,-1.6602782626188827e-4,-0.032563373220518166,-7.72604223321726e-5
40,-0.16023067661469692,1.778498128896326e-4,-0.17240669045090917,3.096114663969825e-4
43,-0.9740977489720088,0.003053536684227639,-0.33112338479447045,6.273826695973546e-4
45,0.12371895233554975,-0.0010405384568844417,0.34683667809150864,-0.001481831053389049
48,0.1360532397988891,1.9325503330780267e-4,0.12129535855017172,2.2479509007817893e-4
50,-0.04735061350297957,-4.852246667099239e-7,-0.1428804900383232,5.297208449567428e-5
51,-0.2876501953587134,1.7680613650246656e-4,-0.3507601321674571,4.636854208566722e-4
52,0.3254593183084757,9.287972877905443e-4,0.0940035972361189,6.80650945048608e-4
53,0.581573000811479,4.1700953395193484e-4,0.9999590806369063,0.002663508443400444
54,1.4460767254307516,0.002733508064622901,0.5490173574008766,-2.798562910062923e-4
56,-0.3642756931571147,2.2883459620182643e-5,-0.10200437778035121,5.157091268340316e-4
58,0.35078793720021917,-5.477124952368058e-4,0.00738173884321619,-4.4465813406651555e-4
59,-0.3492793156396351,-5.522090852903982e-4,-0.2305881459886553,-4.3457693243395686e-4
61,-0.0015407423591071168,-4.672960531375995e-4,-0.10438406488328528,1.7518083440377452e-4
63,0.3730509310389897,0.010932569369845456,0.17668924821267495,0.0031357000626006364
66,-0.032886475516023236,-6.208656274238309e-5,0.024649595305170843,-7.549308107182249e-5
67,-0.20044666138126177,0.002518281978264131,-0.30489004756651983,9.194779042427303e-4
68,-0.20803618991962602,0.002044156463743873,-0.1305908595621964,3.680361623072733e-4
69,-0.3279112233529208,-6.03130190329983e-4,-0.2564851440984745,-7.8989770315005e-4
70,0.09964227735227456,4.2081096245281393e-4,0.10631619467883881,5.936133090975893e-4
73,0.26938053205081425,0.0011921110697125012,0.3240265000463488,0.0031977296214127466
74,0.05962980004273699,3.4719961936421635e-4,-0.1679153355281356,-1.808542431542882e-4
76,-0.3563196218064053,3.1609575841376686e-4,-0.5076493678576122,0.001006510128779915
80,-0.31909154988227884,-9.97115861670054e-4,-0.08885919919463486,-7.702714413059019e-5
81,-0.7714622762429302,0.0011539834968397064,-0.4946242373174662,2.885220256763169e-4
83,0.7816689114721551,0.0010627710587087105,0.6590358169324126,2.909283450743722e-4
84,-0.7888889629898568,5.162776337646468e-4,-0.7649195896405603,8.99636660522064e-4
85,-0.09856397406803556,6.509919549988965e-5,-0.25505863363591386,2.9900408361851886e-4
87,0.15345126058808722,0.004303401356675857,0.20008473559722717,0.003225021253010127
88,1.2164276103182798,0.005573240813776298,0.6957672731723364,0.008170994616729092
