jahr,pc1_freq_cor,max_freq_cor,politik_PC,politik_cor,politik_PC_var
2016,0.053657375772631515,0.3823536237450865,10,0.22320743970684775,0.01459762024486428
2017,0.008250930050276157,0.35857432411627616,10,0.32189020493706144,0.014712599614446377
2018,0.02400201788502969,0.4021853227002106,10,0.28950217601974443,0.014933906965723167
2019,0.08918275432177492,0.349253532070974,10,0.2907605106028296,0.015474524013571536
2020,0.1888011983762973,0.3895659872074993,10,0.24236948096984617,0.015738829939389964
2021,0.21166850034740042,0.39200443974293686,9,0.18671710440412814,0.016542881337122613
2022,0.23862615708138618,0.3784622300465485,9,0.23667027935809778,0.01689196683814554
2023,0.20641874392123497,0.3834076851654382,9,0.203916366365918,0.017274889258071743
2024,0.27008189151111234,0.27008189151111234,9,0.1760153115376325,0.016884941967397104
