jahr,moran_I,rel_sd,global_sd,n
2016,0.33596533451564553,0.7453941899382491,1,16618
2017,0.35249831117805597,0.7651726382029532,1.0034086063541174,18426
2018,0.3949886467458212,0.7765592156912406,1.006251773456965,20255
2019,0.4027303699837421,0.7518898855234026,1.0125217437899514,22409
2020,0.4421927354376103,0.7472709082398276,1.0078943981814168,24842
2021,0.45759610096078895,0.7408131616355046,1.006949310791061,26930
2022,0.4853808006159655,0.7202304500507908,1.0449100999690335,28640
2023,0.4835271687929439,0.7178639601706647,1.016635246772078,29446
2024,0.5057864289095542,0.7121672277340716,1.0383125668336695,28848
