jahr,n,n_edges,mean_degree,density,mean_cos,isolierte,komp,module,Q,top1,top2,rosenbluth
2016,14412,171302,23.772134332500695,0.0016495825641871275,0.259686871244117,5414,6063,7090,0.5609168195700951,0.056480710519011934,0.10699417152373022,2.6748440824995263e-4
2017,14412,89050,12.357757424368582,8.575225469688837e-4,0.24966330767402878,5063,5733,6671,0.6969234891595408,0.057660283097418816,0.0810435747987788,2.9724387362474176e-4
2018,14412,80426,11.16097696364141,7.744762309098195e-4,0.24405550468487092,4423,5051,6053,0.6890220361157767,0.05634193727449348,0.07958645573133499,3.5093973537799806e-4
2019,14412,83942,11.648903691368304,8.083341677446606e-4,0.24389420873390613,3414,3939,4895,0.7611697743774356,0.062239800166527894,0.0852067721343325,5.088985925980749e-4
2020,14412,94370,13.096031085206771,9.087524172650594e-4,0.24733329255464756,2634,3081,3933,0.7942518340319026,0.07292533999444907,0.11698584512905912,7.436900899115746e-4
2021,14412,100670,13.97030252567305,9.694193689315835e-4,0.24860114228595456,2322,2723,3623,0.8113671999397045,0.0654315847904524,0.10900638356924786,8.399540228330882e-4
2022,14412,111927,15.53247293921732,0.0010778206189173075,0.24790054924070956,2090,2421,3408,0.8058025694859619,0.056827643630308074,0.10081876214265889,9.245817890490819e-4
2023,14412,120686,16.747987787954482,0.0011621669410835113,0.25127944873374664,1878,2165,3024,0.8013488728930759,0.05842353594227033,0.10630030530113795,0.0011441475013492081
2024,14412,119590,16.595892311962253,0.0011516128174285096,0.24783802812343236,1884,2110,2855,0.795849057274106,0.06654177074660006,0.09880655009714127,0.0013010439948225455
