stichprobe,jahr,n_subs,sd_partisan,sd_placebo_mean,sd_placebo_median,sd_placebo_p05,sd_placebo_p95,verhaeltnis
jahr,2016,16618,0.06747842799656238,0.0702285317890994,0.07004508331524031,0.06597718271808627,0.07502430899042406,0.9608406480603106
jahr,2017,18426,0.06770843548799817,0.07049333221185232,0.07027308121340163,0.0660117542451261,0.07513632325028546,0.9604941824074261
jahr,2018,20255,0.06790028781966599,0.07066386646496489,0.07044530790484883,0.06654046247806032,0.0747763611958734,0.9608912053139764
jahr,2019,22409,0.0683233753366444,0.07077459392495998,0.070537385634039,0.06657075344736109,0.07632293570834157,0.9653658403054275
jahr,2020,24842,0.06801112941843772,0.07060003944440048,0.07040596256169789,0.06615541950115388,0.07541565631354154,0.9633299068054827
jahr,2021,26930,0.0679473562963124,0.0706480666042819,0.07011910895629715,0.06672563478674645,0.0761940467334836,0.9617723394598062
jahr,2022,28640,0.07050889059506191,0.07070449221216124,0.07021575871855074,0.0663989545473692,0.07559441582847055,0.9972335333869254
jahr,2023,29446,0.06860094792502282,0.07087734990510339,0.0702921857224533,0.06616403030674277,0.07775471679708765,0.9678825184190942
jahr,2024,28848,0.07006369935514625,0.0707685318647759,0.07063499948636731,0.06604580396992914,0.07616900452345839,0.9900403118298902
panel,2016,15522,0.06702574538333973,0.07048152439237511,0.07030748906217305,0.06621360901486682,0.07534049608143971,0.9509690087036592
panel,2017,15522,0.0680696144922059,0.0710154449770975,0.0708318907092753,0.0663617786667537,0.07619623955558116,0.9585184534738658
panel,2018,15522,0.06841862190423059,0.07116172798798051,0.07089636665634284,0.06672287379328494,0.07518251423269223,0.961452508794991
panel,2019,15522,0.06901530805915261,0.07127847778417652,0.07116733065950998,0.06709656067989134,0.07657874400199108,0.9682489049236357
panel,2020,15522,0.06884892631406622,0.07100983162785655,0.0709028474665667,0.06624201023130379,0.07562435917889285,0.9695689277913648
panel,2021,15522,0.06741031596791988,0.07103719525913547,0.0705081572100228,0.06641827202183159,0.07617304791288816,0.94894394017127
panel,2022,15522,0.0691146398088728,0.07108027096009158,0.07068771843564887,0.0663896485596801,0.07610629755829115,0.9723463188214012
panel,2023,15522,0.06742348903410557,0.07088063602838128,0.07039854613919144,0.06583825169462106,0.07716052031935419,0.951225790455782
panel,2024,15522,0.06915165153369716,0.07097555324684612,0.07085470155485431,0.06589259827101208,0.07602539806049238,0.9743023952655134
