jahr,n,moran_I,E_I,sd_I,moran_z_test,p_analyt,p_perm
2016,15298,0.30453427466916433,-6.537229522128521e-5,0.0013762217332813072,221.33035658297064,0,0.001
2017,16860,0.32333835469311306,-5.9315499139925264e-5,0.0013252211939054348,244.0329747815141,0,0.001
2018,18460,0.37130418655270453,-5.417411560756271e-5,0.0012840753208128797,289.2029421087424,0,0.001
2019,20372,0.37305633129420435,-4.9089391782435816e-5,0.0012312383774635766,303.03264381232646,0,0.001
2020,22492,0.4030683478424165,-4.4462229336178915e-5,0.0011788467056980999,341.95524161305923,0,0.001
2021,24347,0.4277189318967005,-4.1074509159615545e-5,0.0011352566671041183,376.79585489422084,0,0.001
2022,25842,0.4579277229058652,-3.8698192794396504e-5,0.0011007809617707375,416.0377377548082,0,0.001
2023,26563,0.4539041273916459,-3.7647767487387995e-5,0.0010845662743843858,418.54682916154354,0,0.001
2024,25987,0.47671363740605827,-3.848225967828831e-5,0.0010984705702546589,434.01446754755654,0,0.001
