jahr,moran_global,moran_alt,moran_neu,anteil_alt,n_alt,n_neu,n
2016,0.30453427466916144,0.30453427466916144,NA,1,15298,0,15298
2017,0.3233383546931097,0.32329264060187585,0.3237438932823217,0.8986951364175564,15152,1708,16860
2018,0.3713041865527003,0.3802770547525928,0.3302501302675383,0.8206392199349946,15149,3311,18460
2019,0.37305633129419963,0.38790292734918796,0.3302375594116814,0.7425387787158846,15127,5245,20372
2020,0.4030683478424111,0.42256671680258345,0.3633102224569279,0.6709496709941313,15091,7401,22492
2021,0.4277189318966946,0.43393088769450133,0.4176173845331162,0.6192138661847455,15076,9271,24347
2022,0.4579277229058586,0.43796675515817374,0.48575989224106747,0.5823465676031266,15049,10793,25842
2023,0.45390412739163927,0.4438777589441805,0.4667015163415451,0.5607047396754885,14894,11669,26563
2024,0.47671363740605155,0.4425325606138494,0.5213771942548007,0.5664755454650402,14721,11266,25987
