jahr,cluster,mittel,n_subs
2016,0,0.33660288343544076,30
2016,1,0.27255312932108505,139
2016,2,0.4833657693110138,72
2016,3,0.0028231937715489978,1662
2016,4,0.1732751539866402,74
2016,5,0.5299138752660325,65
2016,6,-0.04044531134158778,154
2016,7,1.6474866896563862,60
2016,8,0.7239599647329941,62
2016,9,0.4974092011575947,31
2016,10,-0.547007185977861,55
2016,11,0.5912098408912205,40
2016,12,0.31425255004874447,281
2016,13,0.46289756965714585,46
2016,14,-0.2763461305029271,85
2016,15,-0.01640774014203216,240
2016,16,-0.190874122743187,38
2016,17,0.8260080103788018,95
2016,18,0.1924858725599249,44
2016,19,-0.17520767467072892,102
2016,20,0.7141300986675615,51
2016,21,0.060983904097606706,52
2016,22,-0.2821575111460719,660
2016,23,-0.16848944301384142,170
2016,24,-0.5372278965380985,67
2016,25,0.04055279244441189,37
2016,26,0.5164653981510763,218
2016,27,0.1766858903504903,111
2016,28,0.38857074969586225,72
2016,29,-0.8416712173765531,71
2016,30,-0.5184858005579116,39
2016,31,0.3239845796341033,34
2016,32,-0.7150889215732331,33
2016,33,-0.5101669117494197,65
2016,34,-1.1207357319740403,30
2016,35,-0.40750459199875944,64
2016,36,-0.22893284880723114,183
2016,37,-0.08011507553836454,87
2016,38,1.1305168214326085,32
2016,39,-0.2313913016114411,45
2016,40,-0.2082712168224375,53
2016,41,-0.7896106919373468,30
2016,42,0.7825535878824421,38
2016,43,-0.0661065868075792,54
2016,44,0.6256460173343817,45
2016,45,-0.7595059501450853,33
2016,46,0.12495050795434536,91
2016,47,-0.383786141870331,56
2016,48,0.005758505866074109,98
2016,49,-0.3283214418396134,52
2016,50,0.025314794685664777,80
2016,51,0.07648337094511311,88
2016,52,0.18246189443827937,103
2016,53,-0.2500058889809334,56
2016,54,-0.32150596245666996,50
2016,55,-0.3007337620219753,69
2016,56,-0.7436547036207917,77
2016,57,0.411960726956302,92
2016,58,-0.20746066264750207,148
2016,59,0.3309901130148717,73
2016,60,-1.4900601104889613,52
2016,61,-0.29108749128771794,72
2016,62,0.5366902171240603,57
2016,63,0.12912685588406958,320
2016,64,0.04635102605969994,62
2016,65,-0.26156841015749105,85
2016,66,-0.05357487430352488,91
2016,67,-0.5323189239775633,31
2016,68,-0.524729395439199,48
2016,69,0.608069893588879,51
2016,70,0.1102546980796112,110
2016,71,-0.44244500857574565,58
2016,72,-0.2652011741726577,76
2016,73,0.44302262036624673,69
2016,74,0.2448454362053762,69
2016,75,-0.35710615381696703,191
2016,76,0.05881994968795555,61
2016,77,0.2997231178791986,31
2016,78,0.5957438306849654,40
2016,79,-0.036283759262985237,98
2016,80,0.448031779141849,78
2016,81,0.16263786896059304,40
2016,82,-0.4509761185274898,84
2016,83,-0.28426566105124684,50
2016,84,0.33363011943951815,124
2016,85,-0.1147694628676925,36
2016,86,0.10584677754901241,120
2016,87,0.7929109299385683,66
2016,88,0.024604483208929898,154
2016,89,0.5315814565863377,88
2016,90,-1.0401948431055765,46
2016,91,0.06548324705294914,39
2016,92,0.30527316046840347,1150
2016,93,-0.018800868150960236,30
2016,94,0.02324468202699074,282
2017,0,0.3939592442611942,30
2017,1,1.23199823873469,139
2017,2,-0.3782126375526596,72
2017,3,-0.017881976404074563,1655
2017,4,0.3841732889482191,74
2017,5,0.11131878923589544,65
