mass,tau,p,start,ende,n_jahre
moran_threshold_ls_tau055,0.889,2.43e-4,0.34866711169724396,0.43640895871602875,9
moran_threshold_ls_tau055_bin,0.556,0.0446,0.18579843253646378,0.2720137281145174,9
moran_threshold_ls_tau060,0.889,2.43e-4,0.36598717411103693,0.4977411000415044,9
moran_threshold_ls_tau060_bin,0.556,0.0446,0.21380425630899613,0.3018174441550804,9
moran_threshold_ls_tau065,0.944,4.96e-5,0.34604403439563164,0.5383951681294122,9
moran_threshold_ls_tau065_bin,0.556,0.0446,0.2431729898221333,0.34827130722051863,9
moran_threshold_ls_tau070,0.944,4.96e-5,0.30875086300193444,0.5565607519379538,9
moran_threshold_ls_tau070_bin,0.667,0.0127,0.2740223418128669,0.4213910759104022,9
