jahr,k,n,var_gew_obs,var_gew_null,abs_ungew_obs,abs_ungew_null,abs_gew_obs,abs_gew_null,rho_obs,rho_null,rho_p,var_gew_p,ueberschuss_rho,verh_obs,verh_null,ueberschuss_verh
2016,95,10941,0.13609397619526867,0.007484520772475746,0.3815657504132454,0.09773731286341862,0.2658168107813107,0.07275005047109197,-0.3951910169240491,-0.2635031262922201,0.076,0.001,-0.131687890631829,0.6966474598242225,0.7443426501069792,-0.047695190282756705
2017,95,10850,0.16963216975632125,0.007926601596839996,0.4188378373806092,0.09524798023236447,0.2756319233461661,0.06525354331658899,-0.28308035024891914,-0.31034630034368954,0.63,0.001,0.027265950094770397,0.6580874475667106,0.6850910975476662,-0.027003649980955613
2018,95,10842,0.17372100007800975,0.008421737127694411,0.43698541724057677,0.10151089300131147,0.29483681870603756,0.07381316216803115,-0.34891958225721503,-0.28127773131227163,0.229,0.001,-0.0676418509449434,0.6747063107227647,0.7271452352121217,-0.05243892448935705
2019,95,10820,0.19207595492681528,0.008408824674808447,0.47065083558846793,0.1044361447445987,0.32243891046104295,0.07832084649576093,-0.29930596909803253,-0.2580275813982405,0.338,0.001,-0.04127838769979203,0.6850915499977569,0.7499400393158575,-0.06484848931810061
2020,95,10791,0.18071088245405711,0.008222624594064745,0.44505441610836466,0.10086339640049595,0.29867127062645993,0.07324186825433997,-0.39414388038802717,-0.2817458358437128,0.111,0.001,-0.11239804454431435,0.6710893315880222,0.7261491370320327,-0.05505980544401046
2021,95,10780,0.20047500282749783,0.00836294088836896,0.4540793999604692,0.0962461507030903,0.3018140861397865,0.06375337496088664,-0.3580218430716825,-0.3250224356693757,0.369,0.001,-0.03299940740230678,0.6646724915643861,0.662399217996358,0.002273273568028089
2022,95,10754,0.20757358252899444,0.008647868094020994,0.4582560069530151,0.09823262573205219,0.321531682242405,0.06546147855237705,-0.28902624578154834,-0.31951288181670046,0.658,0.001,0.030486636035152115,0.7016420458518323,0.6663924339245033,0.035249611927329005
2023,95,10615,0.17536573716353965,0.008261265023419033,0.4518275226277945,0.10128357593989788,0.316227238721099,0.07519140148921785,-0.40972550680753717,-0.26948762773181756,0.059,0.001,-0.1402378790757196,0.6998848518167848,0.7423849404155789,-0.04250008859879406
2024,95,10476,0.21536267192890893,0.008833697088919915,0.4750693388129409,0.10167844185228264,0.3623331305197569,0.07293883806077023,-0.3378726977157381,-0.2896407419595436,0.328,0.001,-0.04823195575619449,0.7626952550234483,0.717348109707808,0.045347145315640214
