jahr,N,between_gew,within_gew,gesamt_var,eta2_rekonstruiert,eta2,between_ungew,within_ungew
2016,10941,0.13609397619526623,0.7315550883818708,0.867649064577137,0.1568537116577125,0.1568537116577125,0.24687939505267198,0.6927461857701471
2017,10850,0.1696321697563222,0.745998444865829,0.9156306146221512,0.185262667114209,0.185262667114209,0.31282787258510414,0.704110534220381
2018,10842,0.17372100007800959,0.8005020402213258,0.9742230402993354,0.1783174826419963,0.1783174826419963,0.32311042349879365,0.7323138280098108
2019,10820,0.19207595492682142,0.7764881188484313,0.9685640737752527,0.19831001389319655,0.19831001389319655,0.34773040325535576,0.7491663012001697
2020,10791,0.1807108824540537,0.7590365757102889,0.9397474581643426,0.19229728251358683,0.19229728251358683,0.32525647204095326,0.6905806419957637
2021,10780,0.20047500282749306,0.7587925710614807,0.9592675738889738,0.20898757373268217,0.20898757373268217,0.3307637542687177,0.690265572614722
2022,10754,0.2075735825289971,0.7835348333460267,0.9911084158750239,0.20943579855059125,0.20943579855059127,0.3441985836010057,0.7281097084272058
2023,10615,0.17536573716353493,0.7572209721290578,0.9325867092925928,0.18804228648782417,0.1880422864878242,0.3168472664115276,0.6818236241305043
2024,10476,0.2153626719289118,0.7682304259626488,0.9835930978915606,0.21895504593369478,0.2189550459336948,0.33294610164239186,0.7303536976727445
