jahr,n,moran_I,E_I,sd_I,z_score,p_analyt,p_perm
2016,16618,0.3359653345156491,-6.017933441656135e-5,0.0013217779226148355,254.22236829717653,0,0.001
2017,18426,0.35249831117805996,-5.4274084124830395e-5,0.0012682664250971529,277.9799088627441,0,0.001
2018,20255,0.3949886467458261,-4.937296336526118e-5,0.0012257498999308403,322.2827264611487,0,0.001
2019,22409,0.4027303699837473,-4.4626918957515175e-5,0.0011736009818858948,343.1958588305486,0,0.001
2020,24842,0.44219273543761645,-4.025602834024395e-5,0.0011213548967487043,394.37379972048325,0,0.001
2021,26930,0.45759610096079567,-3.713468751160459e-5,0.0010786805770643256,424.25278194382184,0,0.001
2022,28640,0.4853808006159728,-3.4917420300988164e-5,0.0010444920321509609,464.7385552924126,0,0.001
2023,29446,0.4835271687929512,-3.3961623365596876e-05,0.0010283824645086841,470.21526241926057,0,0.001
2024,28848,0.5057864289095618,-3.466564980760565e-5,0.0010410038514088048,485.89742859724754,0,0.001
