jahr,k,var_ungew,var_gew,mean_abs_ungew,mean_abs_gew,rho_extrem_n
2016,95,0.24687939505267198,0.13609397619526867,0.3815657504132455,0.2658168107813107,-0.3951910169240491
2017,95,0.31282787258510414,0.16963216975632128,0.4188378373806092,0.2756319233461661,-0.28308035024891914
2018,95,0.32311042349879365,0.17372100007800972,0.43698541724057677,0.29483681870603756,-0.34891958225721503
2019,95,0.34773040325535576,0.19207595492681528,0.47065083558846793,0.3224389104610429,-0.29930596909803253
2020,95,0.32525647204095326,0.18071088245405714,0.44505441610836466,0.29867127062646,-0.39414388038802717
2021,95,0.3307637542687177,0.20047500282749786,0.4540793999604692,0.3018140861397865,-0.3580218430716825
2022,95,0.3441985836010057,0.2075735825289944,0.4582560069530151,0.32153168224240497,-0.28902624578154834
2023,95,0.3168472664115276,0.17536573716353968,0.4518275226277946,0.316227238721099,-0.40972550680753717
2024,95,0.33294610164239186,0.21536267192890887,0.4750693388129409,0.36233313051975685,-0.3378726977157381
