reihe,start,ende,delta,tau,p,j_start,j_ende
eta2_voll,0.156853711657715,0.21895504593369258,0.06210133427597758,0.6666666666666669,0.012665343915343907,2016,2024
eta2_o_any,0.14621672173514377,0.20333218318257196,0.057115461447428184,0.6111111111111113,0.024740961199294587,2016,2024
eta2_o_mehr,0.1540032793103578,0.216451270692926,0.06244799138256821,0.7222222222222223,0.005886243386243439,2016,2024
eta2_o_end,0.1526616501364583,0.21278678258619962,0.060125132449741325,0.7222222222222223,0.005886243386243439,2016,2024
moran_voll,0.30453427466916144,0.47671363740605155,0.1721793627368901,0.9444444444444446,4.9603174603118916e-5,2016,2024
moran_rest,0.2902415931434671,0.46457283848589637,0.17433124534242928,0.8888888888888891,2.4250440917117366e-4,2016,2024
moran_kipper,0.42986448074249145,0.6699783993830789,0.24011391864058745,0.5555555555555557,0.0446152998236331,2016,2024
moran_ohne_kipper_neu,0.2904961321495331,0.4672659495957115,0.17676981744617837,0.8888888888888891,2.4250440917117366e-4,2016,2024
anteil_kipper,0.10236632239508432,0.05910647631508062,-0.0432598460800037,-0.9444444444444446,4.96031746031746e-5,2016,2024
