seite,n_cluster,subs_2016,subs_2024,beitrag_2016,beitrag_2024,zuwachs,via_position,via_anteil,anteil_am_zuwachs_pz
negativ,50,6227,5923,0.06874723203589558,0.09233013209046825,0.023582900054572673,0.022377506852861394,0.0012053932017112756,29.750584182457423
positiv,45,4714,4553,0.06734674415937308,0.12303253983844065,0.055685795679067555,0.0530656968220225,0.0026200988570450573,70.24941581754257
