jahr_von,jahr_bis,cluster_alt,cluster_neu,schnitt,n_alt,n_neu,anteil_alt,anteil_neu,jaccard
2016,2017,20,55,1,51,137,0.0196078431372549,0.0072992700729927005,0.0053475935828877
2016,2017,20,73,1,51,1072,0.0196078431372549,9.328358208955224e-4,8.9126559714795e-4
2016,2017,21,15,51,52,892,0.9807692307692307,0.05717488789237668,0.05711086226203808
2016,2017,22,8,1,660,79,0.0015151515151515152,0.012658227848101266,0.0013550135501355014
2016,2017,22,14,1,660,123,0.0015151515151515152,0.008130081300813009,0.0012787723785166241
2016,2017,22,15,647,660,892,0.9803030303030303,0.7253363228699552,0.7149171270718232
2016,2017,22,46,1,660,79,0.0015151515151515152,0.012658227848101266,0.0013550135501355014
2016,2017,22,73,2,660,1072,0.0030303030303030303,0.0018656716417910447,0.0011560693641618498
2016,2017,22,79,1,660,46,0.0015151515151515152,0.021739130434782608,0.0014184397163120568
2016,2017,22,87,1,660,509,0.0015151515151515152,0.0019646365422396855,8.561643835616438e-4
2016,2017,23,31,54,170,65,0.3176470588235294,0.8307692307692308,0.2983425414364641
2016,2017,23,55,105,170,137,0.6176470588235294,0.7664233576642335,0.5198019801980198
2016,2017,24,21,1,67,30,0.014925373134328358,0.03333333333333333,0.010416666666666666
2016,2017,24,50,48,67,61,0.7164179104477612,0.7868852459016393,0.6
2016,2017,24,73,2,67,1072,0.029850746268656716,0.0018656716417910447,0.001759014951627089
2016,2017,25,19,1,37,45,0.02702702702702703,0.022222222222222223,0.012345679012345678
2016,2017,25,23,31,37,40,0.8378378378378378,0.775,0.6739130434782609
2016,2017,26,8,1,218,79,0.0045871559633027525,0.012658227848101266,0.0033783783783783786
2016,2017,26,42,1,218,72,0.0045871559633027525,0.013888888888888888,0.0034602076124567475
2016,2017,26,57,179,218,223,0.8211009174311926,0.8026905829596412,0.683206106870229
2016,2017,26,58,3,218,109,0.013761467889908258,0.027522935779816515,0.009259259259259259
2016,2017,26,73,1,218,1072,0.0045871559633027525,9.328358208955224e-4,7.757951900698216e-4
2016,2017,26,87,1,218,509,0.0045871559633027525,0.0019646365422396855,0.0013774104683195593
2016,2017,27,7,1,111,1868,0.009009009009009009,5.353319057815846e-4,5.055611729019212e-4
2016,2017,27,54,23,111,30,0.2072072072072072,0.7666666666666667,0.19491525423728814
2016,2017,27,58,78,111,109,0.7027027027027027,0.7155963302752294,0.5492957746478874
2016,2017,27,93,1,111,54,0.009009009009009009,0.018518518518518517,0.006097560975609756
2016,2017,28,39,58,72,77,0.8055555555555556,0.7532467532467533,0.6373626373626373
2016,2017,28,40,2,72,77,0.027777777777777776,0.025974025974025976,0.013605442176870748
2016,2017,28,62,1,72,70,0.013888888888888888,0.014285714285714285,0.0070921985815602835
2016,2017,28,73,3,72,1072,0.041666666666666664,0.002798507462686567,0.0026292725679228747
2016,2017,29,39,1,71,77,0.014084507042253521,0.012987012987012988,0.006802721088435374
2016,2017,29,40,63,71,77,0.8873239436619719,0.8181818181818182,0.7411764705882353
2016,2017,30,21,1,39,30,0.02564102564102564,0.03333333333333333,0.014705882352941176
2016,2017,30,29,33,39,49,0.8461538461538461,0.673469387755102,0.6
2016,2017,30,73,1,39,1072,0.02564102564102564,9.328358208955224e-4,9.009009009009009e-4
2016,2017,31,76,22,34,51,0.6470588235294118,0.43137254901960786,0.3492063492063492
2016,2017,32,82,26,33,30,0.7878787878787878,0.8666666666666667,0.7027027027027027
2016,2017,33,67,47,65,55,0.7230769230769231,0.8545454545454545,0.6438356164383562
2016,2017,33,73,1,65,1072,0.015384615384615385,9.328358208955224e-4,8.802816901408451e-4
2016,2017,34,46,27,30,79,0.9,0.34177215189873417,0.32926829268292684
2016,2017,34,73,1,30,1072,0.03333333333333333,9.328358208955224e-4,9.082652134423251e-4
2016,2017,35,15,1,64,892,0.015625,0.0011210762331838565,0.0010471204188481676
2016,2017,35,83,44,64,80,0.6875,0.55,0.44
2016,2017,35,89,1,64,199,0.015625,0.005025125628140704,0.003816793893129771
2016,2017,36,15,1,183,892,0.00546448087431694,0.0011210762331838565,9.31098696461825e-4
2016,2017,36,73,1,183,1072,0.00546448087431694,9.328358208955224e-4,7.974481658692185e-4
2016,2017,36,83,1,183,80,0.00546448087431694,0.0125,0.003816793893129771
2016,2017,36,88,10,183,35,0.0546448087431694,0.2857142857142857,0.04807692307692308
2016,2017,36,89,154,183,199,0.8415300546448088,0.7738693467336684,0.6754385964912281
2016,2017,37,22,1,87,111,0.011494252873563218,0.009009009009009009,0.005076142131979695
2016,2017,37,73,2,87,1072,0.022988505747126436,0.0018656716417910447,0.001728608470181504
2016,2017,37,76,8,87,51,0.09195402298850575,0.1568627450980392,0.06153846153846154
2016,2017,37,80,1,87,132,0.011494252873563218,0.007575757575757576,0.0045871559633027525
2016,2017,37,83,2,87,80,0.022988505747126436,0.025,0.012121212121212121
2016,2017,37,84,56,87,61,0.6436781609195402,0.9180327868852459,0.6086956521739131
2016,2017,37,89,3,87,199,0.034482758620689655,0.01507537688442211,0.01060070671378092
2016,2017,38,11,30,32,31,0.9375,0.967741935483871,0.9090909090909091
2016,2017,39,19,39,45,45,0.8666666666666667,0.8666666666666667,0.7647058823529411
2016,2017,39,87,1,45,509,0.022222222222222223,0.0019646365422396855,0.0018083182640144665
2016,2017,40,56,48,53,65,0.9056603773584906,0.7384615384615385,0.6857142857142857
2016,2017,40,72,1,53,164,0.018867924528301886,0.006097560975609756,0.004629629629629629
2016,2017,40,94,1,53,101,0.018867924528301886,0.009900990099009901,0.006535947712418301
2016,2017,41,73,1,30,1072,0.03333333333333333,9.328358208955224e-4,9.082652134423251e-4
2016,2017,41,87,1,30,509,0.03333333333333333,0.0019646365422396855,0.0018587360594795538
2016,2017,42,41,30,38,36,0.7894736842105263,0.8333333333333334,0.6818181818181818
2016,2017,42,73,1,38,1072,0.02631578947368421,9.328358208955224e-4,9.017132551848512e-4
2016,2017,43,14,1,54,123,0.018518518518518517,0.008130081300813009,0.005681818181818182
2016,2017,43,20,51,54,59,0.9444444444444444,0.864406779661017,0.8225806451612904
2016,2017,43,44,1,54,80,0.018518518518518517,0.0125,0.007518796992481203
2016,2017,43,56,1,54,65,0.018518518518518517,0.015384615384615385,0.00847457627118644
2016,2017,44,5,3,45,67,0.06666666666666667,0.04477611940298507,0.027522935779816515
2016,2017,45,43,30,33,34,0.9090909090909091,0.8823529411764706,0.8108108108108109
2016,2017,45,44,2,33,80,0.06060606060606061,0.025,0.018018018018018018
2016,2017,46,36,87,91,107,0.9560439560439561,0.8130841121495327,0.7837837837837838
2016,2017,47,41,1,56,36,0.017857142857142856,0.027777777777777776,0.01098901098901099
2016,2017,48,70,93,98,123,0.9489795918367347,0.7560975609756098,0.7265625
2016,2017,49,45,1,52,146,0.019230769230769232,0.00684931506849315,0.005076142131979695
2016,2017,49,63,1,52,100,0.019230769230769232,0.01,0.006622516556291391
2016,2017,49,64,41,52,55,0.7884615384615384,0.7454545454545455,0.6212121212121212
2016,2017,50,36,1,80,107,0.0125,0.009345794392523364,0.005376344086021506
2016,2017,50,63,1,80,100,0.0125,0.01,0.00558659217877095
2016,2017,50,70,1,80,123,0.0125,0.008130081300813009,0.0049504950495049506
2016,2017,50,77,64,80,80,0.8,0.8,0.6666666666666666
2016,2017,50,79,1,80,46,0.0125,0.021739130434782608,0.008
2016,2017,51,63,78,88,100,0.8863636363636364,0.78,0.7090909090909091
2016,2017,52,63,1,103,100,0.009708737864077669,0.01,0.0049504950495049506
2016,2017,52,77,2,103,80,0.019417475728155338,0.025,0.011049723756906077
2016,2017,52,78,55,103,66,0.5339805825242718,0.8333333333333334,0.4824561403508772
2016,2017,52,79,36,103,46,0.34951456310679613,0.782608695652174,0.3185840707964602
2016,2017,53,42,49,56,72,0.875,0.6805555555555556,0.620253164556962
2016,2017,53,73,1,56,1072,0.017857142857142856,9.328358208955224e-4,8.873114463176575e-4
2016,2017,53,80,1,56,132,0.017857142857142856,0.007575757575757576,0.0053475935828877
2016,2017,53,94,1,56,101,0.017857142857142856,0.009900990099009901,0.00641025641025641
2016,2017,54,14,1,50,123,0.02,0.008130081300813009,0.005813953488372093
2016,2017,54,61,42,50,56,0.84,0.75,0.65625
2016,2017,55,60,67,69,128,0.9710144927536232,0.5234375,0.5153846153846153
2016,2017,55,91,1,69,142,0.014492753623188406,0.007042253521126761,0.004761904761904762
2016,2017,56,38,66,77,69,0.8571428571428571,0.9565217391304348,0.825
2016,2017,56,48,4,77,315,0.05194805194805195,0.012698412698412698,0.010309278350515464
2016,2017,57,20,1,92,59,0.010869565217391304,0.01694915254237288,0.006666666666666667
2016,2017,57,66,76,92,89,0.8260869565217391,0.8539325842696629,0.7238095238095238
2016,2017,57,69,3,92,477,0.03260869565217391,0.006289308176100629,0.00530035335689046
2016,2017,58,21,1,148,30,0.006756756756756757,0.03333333333333333,0.005649717514124294
2016,2017,58,29,1,148,49,0.006756756756756757,0.02040816326530612,0.00510204081632653
2016,2017,58,45,113,148,146,0.7635135135135135,0.773972602739726,0.6243093922651933
2016,2017,59,65,70,73,90,0.958904109589041,0.7777777777777778,0.7526881720430108
2016,2017,59,93,1,73,54,0.0136986301369863,0.018518518518518517,0.007936507936507936
2016,2017,59,94,1,73,101,0.0136986301369863,0.009900990099009901,0.005780346820809248
2016,2017,60,32,22,52,39,0.4230769230769231,0.5641025641025641,0.3188405797101449
2016,2017,60,37,23,52,71,0.4423076923076923,0.323943661971831,0.23
2016,2017,60,46,1,52,79,0.019230769230769232,0.012658227848101266,0.007692307692307693
2016,2017,61,17,1,72,62,0.013888888888888888,0.016129032258064516,0.007518796992481203
2016,2017,61,44,65,72,80,0.9027777777777778,0.8125,0.7471264367816092
2016,2017,62,16,1,57,65,0.017543859649122806,0.015384615384615385,0.008264462809917356
2016,2017,62,53,34,57,42,0.5964912280701754,0.8095238095238095,0.5230769230769231
2016,2017,63,63,1,320,100,0.003125,0.01,0.002386634844868735
2016,2017,63,73,1,320,1072,0.003125,9.328358208955224e-4,7.189072609633358e-4
2016,2017,63,78,1,320,66,0.003125,0.015151515151515152,0.0025974025974025974
2016,2017,63,87,283,320,509,0.884375,0.555992141453831,0.5183150183150184
2016,2017,64,33,19,62,33,0.3064516129032258,0.5757575757575758,0.25
2016,2017,64,34,38,62,168,0.6129032258064516,0.2261904761904762,0.19791666666666666
2016,2017,64,73,1,62,1072,0.016129032258064516,9.328358208955224e-4,8.8261253309797e-4
2016,2017,65,34,80,85,168,0.9411764705882353,0.47619047619047616,0.4624277456647399
2016,2017,66,20,1,91,59,0.01098901098901099,0.01694915254237288,0.006711409395973154
2016,2017,66,91,89,91,142,0.978021978021978,0.6267605633802817,0.6180555555555556
2016,2017,67,73,1,31,1072,0.03225806451612903,9.328358208955224e-4,9.074410163339383e-4
2016,2017,67,87,1,31,509,0.03225806451612903,0.0019646365422396855,0.0018552875695732839
2016,2017,67,90,20,31,104,0.6451612903225806,0.19230769230769232,0.17391304347826086
2016,2017,68,90,46,48,104,0.9583333333333334,0.4423076923076923,0.4339622641509434
2016,2017,69,74,49,51,106,0.9607843137254902,0.46226415094339623,0.4537037037037037
2016,2017,70,70,1,110,123,0.00909090909090909,0.008130081300813009,0.004310344827586207
2016,2017,70,73,1,110,1072,0.00909090909090909,9.328358208955224e-4,8.46740050804403e-4
2016,2017,70,74,17,110,106,0.15454545454545454,0.16037735849056603,0.08542713567839195
2016,2017,70,75,78,110,106,0.7090909090909091,0.7358490566037735,0.5652173913043478
2016,2017,71,35,37,58,67,0.6379310344827587,0.5522388059701493,0.42045454545454547
2016,2017,72,59,68,76,92,0.8947368421052632,0.7391304347826086,0.68
2016,2017,72,69,2,76,477,0.02631578947368421,0.0041928721174004195,0.003629764065335753
2016,2017,72,73,2,76,1072,0.02631578947368421,0.0018656716417910447,0.0017452006980802793
2016,2017,73,62,56,69,70,0.8115942028985508,0.8,0.6746987951807228
2016,2017,73,71,4,69,76,0.057971014492753624,0.05263157894736842,0.028368794326241134
2016,2017,74,71,40,69,76,0.5797101449275363,0.5263157894736842,0.38095238095238093
2016,2017,74,74,6,69,106,0.08695652173913043,0.05660377358490566,0.03550295857988166
2016,2017,75,34,1,191,168,0.005235602094240838,0.005952380952380952,0.002793296089385475
2016,2017,75,55,11,191,137,0.05759162303664921,0.08029197080291971,0.03470031545741325
2016,2017,75,69,134,191,477,0.7015706806282722,0.2809224318658281,0.250936329588015
2016,2017,76,52,47,61,59,0.7704918032786885,0.7966101694915254,0.6438356164383562
2016,2017,76,69,1,61,477,0.01639344262295082,0.0020964360587002098,0.00186219739292365
2016,2017,77,73,1,31,1072,0.03225806451612903,9.328358208955224e-4,9.074410163339383e-4
2016,2017,78,7,2,40,1868,0.05,0.0010706638115631692,0.001049317943336831
2016,2017,78,51,1,40,53,0.025,0.018867924528301886,0.010869565217391304
2016,2017,79,8,1,98,79,0.01020408163265306,0.012658227848101266,0.005681818181818182
2016,2017,79,68,1,98,60,0.01020408163265306,0.016666666666666666,0.006369426751592357
2016,2017,79,69,83,98,477,0.8469387755102041,0.1740041928721174,0.16869918699186992
2016,2017,80,7,1,78,1868,0.01282051282051282,5.353319057815846e-4,5.141388174807198e-4
2016,2017,80,27,73,78,94,0.9358974358974359,0.776595744680851,0.7373737373737373
2016,2017,80,73,1,78,1072,0.01282051282051282,9.328358208955224e-4,8.703220191470844e-4
2016,2017,81,14,1,40,123,0.025,0.008130081300813009,0.006172839506172839
2016,2017,81,68,38,40,60,0.95,0.6333333333333333,0.6129032258064516
2016,2017,82,68,2,84,60,0.023809523809523808,0.03333333333333333,0.014084507042253521
2016,2017,82,69,76,84,477,0.9047619047619048,0.15932914046121593,0.15670103092783505
2016,2017,83,73,1,50,1072,0.02,9.328358208955224e-4,8.920606601248885e-4
2016,2017,83,92,42,50,47,0.84,0.8936170212765957,0.7636363636363637
2016,2017,83,94,1,50,101,0.02,0.009900990099009901,0.006666666666666667
2016,2017,84,85,3,124,51,0.024193548387096774,0.058823529411764705,0.01744186046511628
2016,2017,84,86,90,124,126,0.7258064516129032,0.7142857142857143,0.5625
2016,2017,84,87,1,124,509,0.008064516129032258,0.0019646365422396855,0.0015822784810126582
2016,2017,85,85,33,36,51,0.9166666666666666,0.6470588235294118,0.6111111111111112
2016,2017,86,65,2,120,90,0.016666666666666666,0.022222222222222223,0.009615384615384616
2016,2017,86,73,1,120,1072,0.008333333333333333,9.328358208955224e-4,8.396305625524769e-4
2016,2017,86,76,1,120,51,0.008333333333333333,0.0196078431372549,0.0058823529411764705
2016,2017,86,80,91,120,132,0.7583333333333333,0.6893939393939394,0.5652173913043478
2016,2017,86,85,1,120,51,0.008333333333333333,0.0196078431372549,0.0058823529411764705
2016,2017,87,93,42,66,54,0.6363636363636364,0.7777777777777778,0.5384615384615384
2016,2017,88,9,1,154,166,0.006493506493506494,0.006024096385542169,0.003134796238244514
2016,2017,88,15,3,154,892,0.01948051948051948,0.0033632286995515697,0.0028763183125599234
2016,2017,88,34,1,154,168,0.006493506493506494,0.005952380952380952,0.003115264797507788
2016,2017,88,73,1,154,1072,0.006493506493506494,9.328358208955224e-4,8.163265306122449e-4
2016,2017,88,92,1,154,47,0.006493506493506494,0.02127659574468085,0.005
2016,2017,88,93,2,154,54,0.012987012987012988,0.037037037037037035,0.009708737864077669
2016,2017,88,94,77,154,101,0.5,0.7623762376237624,0.43258426966292135
2016,2017,89,51,31,88,53,0.3522727272727273,0.5849056603773585,0.2818181818181818
2016,2017,89,72,31,88,164,0.3522727272727273,0.18902439024390244,0.14027149321266968
2016,2017,89,73,1,88,1072,0.011363636363636364,9.328358208955224e-4,8.628127696289905e-4
2016,2017,90,44,1,46,80,0.021739130434782608,0.0125,0.008
2016,2017,90,46,41,46,79,0.8913043478260869,0.5189873417721519,0.4880952380952381
2016,2017,90,47,1,46,51,0.021739130434782608,0.0196078431372549,0.010416666666666666
2016,2017,91,58,1,39,109,0.02564102564102564,0.009174311926605505,0.006802721088435374
2016,2017,91,72,30,39,164,0.7692307692307693,0.18292682926829268,0.17341040462427745
2016,2017,91,73,3,39,1072,0.07692307692307693,0.002798507462686567,0.002707581227436823
2016,2017,92,0,1,1150,150,8.695652173913044e-4,0.006666666666666667,7.698229407236335e-4
2016,2017,92,2,10,1150,141,0.008695652173913044,0.07092198581560284,0.0078064012490242
2016,2017,92,3,5,1150,35,0.004347826086956522,0.14285714285714285,0.00423728813559322
2016,2017,92,4,2,1150,78,0.0017391304347826088,0.02564102564102564,0.0016313213703099511
2016,2017,92,5,3,1150,67,0.0026086956521739132,0.04477611940298507,0.002471169686985173
2016,2017,92,7,61,1150,1868,0.05304347826086957,0.032655246252676656,0.020629015894487658
2016,2017,92,8,2,1150,79,0.0017391304347826088,0.02531645569620253,0.0016299918500407497
2016,2017,92,9,3,1150,166,0.0026086956521739132,0.018072289156626505,0.002284843869002285
2016,2017,92,10,3,1150,59,0.0026086956521739132,0.05084745762711865,0.0024875621890547263
2016,2017,92,11,1,1150,31,8.695652173913044e-4,0.03225806451612903,8.47457627118644e-4
2016,2017,92,13,7,1150,285,0.00608695652173913,0.02456140350877193,0.004901960784313725
2016,2017,92,14,9,1150,123,0.00782608695652174,0.07317073170731707,0.007120253164556962
2016,2017,92,15,26,1150,892,0.022608695652173914,0.02914798206278027,0.012896825396825396
2016,2017,92,16,1,1150,65,8.695652173913044e-4,0.015384615384615385,8.237232289950577e-4
2016,2017,92,19,1,1150,45,8.695652173913044e-4,0.022222222222222223,8.375209380234506e-4
2016,2017,92,20,1,1150,59,8.695652173913044e-4,0.01694915254237288,8.278145695364238e-4
2016,2017,92,21,1,1150,30,8.695652173913044e-4,0.03333333333333333,8.481764206955047e-4
2016,2017,92,22,7,1150,111,0.00608695652173913,0.06306306306306306,0.0055821371610845294
2016,2017,92,23,1,1150,40,8.695652173913044e-4,0.025,8.410428931875525e-4
2016,2017,92,24,6,1150,103,0.0052173913043478265,0.05825242718446602,0.0048115477145148355
2016,2017,92,25,1,1150,102,8.695652173913044e-4,0.00980392156862745,7.993605115907274e-4
2016,2017,92,27,2,1150,94,0.0017391304347826088,0.02127659574468085,0.001610305958132045
2016,2017,92,29,1,1150,49,8.695652173913044e-4,0.02040816326530612,8.347245409015025e-4
2016,2017,92,31,3,1150,65,0.0026086956521739132,0.046153846153846156,0.0024752475247524753
2016,2017,92,32,1,1150,39,8.695652173913044e-4,0.02564102564102564,8.417508417508417e-4
2016,2017,92,33,1,1150,33,8.695652173913044e-4,0.030303030303030304,8.460236886632825e-4
2016,2017,92,34,6,1150,168,0.0052173913043478265,0.03571428571428571,0.004573170731707317
2016,2017,92,36,3,1150,107,0.0026086956521739132,0.028037383177570093,0.0023923444976076554
2016,2017,92,37,1,1150,71,8.695652173913044e-4,0.014084507042253521,8.19672131147541e-4
2016,2017,92,39,4,1150,77,0.0034782608695652175,0.05194805194805195,0.003270645952575634
2016,2017,92,40,4,1150,77,0.0034782608695652175,0.05194805194805195,0.003270645952575634
2016,2017,92,42,5,1150,72,0.004347826086956522,0.06944444444444445,0.004108463434675432
2016,2017,92,43,1,1150,34,8.695652173913044e-4,0.029411764705882353,8.453085376162299e-4
2016,2017,92,45,6,1150,146,0.0052173913043478265,0.0410958904109589,0.004651162790697674
2016,2017,92,46,2,1150,79,0.0017391304347826088,0.02531645569620253,0.0016299918500407497
2016,2017,92,48,4,1150,315,0.0034782608695652175,0.012698412698412698,0.0027378507871321013
2016,2017,92,49,35,1150,38,0.030434782608695653,0.9210526315789473,0.030355594102341718
2016,2017,92,50,5,1150,61,0.004347826086956522,0.08196721311475409,0.0041459369817578775
2016,2017,92,52,1,1150,59,8.695652173913044e-4,0.01694915254237288,8.278145695364238e-4
2016,2017,92,53,1,1150,42,8.695652173913044e-4,0.023809523809523808,8.396305625524769e-4
2016,2017,92,54,1,1150,30,8.695652173913044e-4,0.03333333333333333,8.481764206955047e-4
2016,2017,92,55,3,1150,137,0.0026086956521739132,0.021897810218978103,0.002336448598130841
2016,2017,92,56,1,1150,65,8.695652173913044e-4,0.015384615384615385,8.237232289950577e-4
2016,2017,92,57,3,1150,223,0.0026086956521739132,0.013452914798206279,0.0021897810218978104
2016,2017,92,58,1,1150,109,8.695652173913044e-4,0.009174311926605505,7.94912559618442e-4
2016,2017,92,59,2,1150,92,0.0017391304347826088,0.021739130434782608,0.0016129032258064516
2016,2017,92,60,10,1150,128,0.008695652173913044,0.078125,0.007886435331230283
2016,2017,92,61,3,1150,56,0.0026086956521739132,0.05357142857142857,0.0024937655860349127
2016,2017,92,62,1,1150,70,8.695652173913044e-4,0.014285714285714285,8.203445447087777e-4
2016,2017,92,63,2,1150,100,0.0017391304347826088,0.02,0.0016025641025641025
2016,2017,92,64,1,1150,55,8.695652173913044e-4,0.01818181818181818,8.305647840531562e-4
2016,2017,92,65,2,1150,90,0.0017391304347826088,0.022222222222222223,0.0016155088852988692
2016,2017,92,68,2,1150,60,0.0017391304347826088,0.03333333333333333,0.0016556291390728477
2016,2017,92,69,30,1150,477,0.02608695652173913,0.06289308176100629,0.01878522229179712
2016,2017,92,70,1,1150,123,8.695652173913044e-4,0.008130081300813009,7.861635220125787e-4
2016,2017,92,71,8,1150,76,0.006956521739130435,0.10526315789473684,0.006568144499178982
2016,2017,92,72,26,1150,164,0.022608695652173914,0.15853658536585366,0.020186335403726708
2016,2017,92,73,365,1150,1072,0.3173913043478261,0.34048507462686567,0.19655358104469575
2016,2017,92,74,8,1150,106,0.006956521739130435,0.07547169811320754,0.00641025641025641
2016,2017,92,76,1,1150,51,8.695652173913044e-4,0.0196078431372549,8.333333333333334e-4
2016,2017,92,77,1,1150,80,8.695652173913044e-4,0.0125,8.136696501220504e-4
2016,2017,92,78,1,1150,66,8.695652173913044e-4,0.015151515151515152,8.230452674897119e-4
2016,2017,92,79,2,1150,46,0.0017391304347826088,0.043478260869565216,0.0016750418760469012
2016,2017,92,80,6,1150,132,0.0052173913043478265,0.045454545454545456,0.004702194357366771
2016,2017,92,81,2,1150,41,0.0017391304347826088,0.04878048780487805,0.001682085786375105
2016,2017,92,82,1,1150,30,8.695652173913044e-4,0.03333333333333333,8.481764206955047e-4
