jahr,moran_voll,moran_kipper,moran_rest,anteil_kipper,moran_ohne_kipper_neu,n,n_kipper
2016,0.30453427466916144,0.42986448074249145,0.2902415931434671,0.10236632239508432,0.2904961321495331,15298,1566
2017,0.3233383546931097,0.44548761991000924,0.31087512160574576,0.09258600237247924,0.3103004450939406,16860,1561
2018,0.3713041865527003,0.42627735240471587,0.3662226334067157,0.08461538461538462,0.3650203942723828,18460,1562
2019,0.37305633129419963,0.5251311634132205,0.3604278949427956,0.07667386609071274,0.36166913720736166,20372,1562
2020,0.4030683478424111,0.6350617955025801,0.3857666531408907,0.06940245420593989,0.38935325380698305,22492,1561
2021,0.4277189318966946,0.6345760235096188,0.4135671763312852,0.06403252967511398,0.4157242796467698,24347,1559
2022,0.4579277229058586,0.5917005563645822,0.44935105822827026,0.06025075458555839,0.449006138185861,25842,1557
2023,0.45390412739163927,0.5791932193974613,0.4461296013513756,0.05842713548921432,0.4483798552230036,26563,1552
2024,0.47671363740605155,0.6699783993830789,0.46457283848589637,0.05910647631508062,0.4672659495957115,25987,1536
