jahr,N,gesamtmittel,between_ff3,within_ff3,eta2_ff3
2016,10941,0.04177494954178811,0.13609397619526867,0.73155508838187,0.15685371165771503
2017,10850,-0.021121945731869818,0.16963216975632125,0.745998444865829,0.1852626671142082
2018,10842,-0.03776950267857059,0.17372100007800972,0.800502040221324,0.17831748264199673
2019,10820,0.046961221741964314,0.19207595492681528,0.7764881188484322,0.1983100138931913
2020,10791,0.03822256302899733,0.18071088245405714,0.7590365757102915,0.19229728251358927
2021,10780,0.002589011494960759,0.20047500282749786,0.7587925710614809,0.2089875737326861
2022,10754,-0.010536133561097682,0.20757358252899438,0.7835348333460259,0.20943579855058925
2023,10615,0.041554275258710915,0.17536573716353968,0.7572209721290576,0.18804228648782836
2024,10476,-0.032735770401553156,0.2153626719289089,0.7682304259626482,0.2189550459336926
