jahr,density,knoten,komp,module,Q,top1,top2,rosenbluth
2016,0.0016160038879234498,14412,1,115,0.7215561668111896,0.14217318900915904,0.27844851512628366,0.024844934646719923
2017,0.0015751644368095247,14412,1,92,0.7358848227105835,0.22620038856508465,0.30287260616153205,0.03202880192012801
2018,0.0015415376121715085,14412,1,86,0.7610131436104293,0.18012767138495697,0.27456286427976684,0.0332777626407932
2019,0.001518599726636642,14412,1,88,0.777824237155431,0.17131557035803496,0.24743269497640855,0.030807379064149976
2020,0.0014997351935708131,14412,1,93,0.783921003488599,0.18373577574243685,0.24222869830696642,0.02936143164482691
2021,0.001494015166699398,14412,1,85,0.7821559511108113,0.2112128781570913,0.28309741881765194,0.03296100118011911
2022,0.0014985603732369532,14412,1,96,0.7819462983242355,0.17082986400222036,0.21405772966971967,0.026697491413900036
2023,0.0015103182062504179,14412,1,89,0.786794942941512,0.17707466000555094,0.28240355259505967,0.030759905406674462
2024,0.0015111367286141724,14412,1,87,0.7933313921903759,0.14807105190119346,0.27255065223424924,0.03222517373688588
