cluster,gruende,n_subs,n_c_2016,n_c_2024,mittel_2016,mittel_2024,anteil_16_pz,anteil_24_pz,d_beitrag,bei_position,bei_anteil,treiber,pct_2016,pct_2024,d_pct,tau_pct,d_ext,tau_ext,woerter_2016,mitglieder,label,kategorie,nachfolger_cl,woerter_nachfolger_2024
26,beitrag_hoch+raus_aus_mitte+traegt_2024,218,218,216,0.5164653981510763,1.080054694478595,3.2989942546097746,11.855356607810887,0.02104228030173007,0.02053476230238749,5.075179993425801e-4,Position,0.6587597094387145,0.8042552727095313,0.1454955632708168,0.5000000000000001,0.12794937946468155,0.38888888888888895,"anime, manga, episode, series, show, episodes, arc, mal, character, characters, chapter, watch","anime, OnePiece, manga, SchoolIdolFestival, anime_irl, Naruto, bleach, fairytail, HunterXHunter, kancolle",,,181,"anime, manga, sukuna, gojo, luffy, naruto"
17,beitrag_hoch+raus_aus_mitte+traegt_2024,95,95,95,0.8260080103788018,1.278107698452228,3.9239004265687245,7.235346828329459,0.010242044140353403,0.009792398269840403,4.4964587051300145e-4,Position,0.7299442866056638,0.8515266569724481,0.12158237036678432,0.5000000000000001,0.10981118288899194,0.38888888888888895,"london, pay, year, any, work, tax, money, years, british, though, house, bit","britishproblems, AskUK, glasgow, UKPersonalFinance, LegalAdviceUK, eurovision, HardwareSwapUK, pokemongoLondon, manchester, Edinburgh",,,20,"car, pay, london, work, year, years"
3,beitrag_hoch+traegt_2024,1662,1662,1438,0.0028231937715489978,-0.288311866258354,0.1693515498656251,4.163258993077069,0.008735628548850922,0.009224855604994905,-4.892270561439854e-4,Position,0.5063513095740106,0.44270327365714846,-0.06364803591686219,-0.5000000000000001,-0.025976136853984366,-0.055555555555555566,"sex, girl, sexy, looking, kik, cock, hot, cum, body, women, feel, ass","gonewild, sex, askgaybros, asktransgender, amiugly, actuallesbians, dirtypenpals, gonewildcurvy, dirtykikpals, gonewildaudio",,,10,"kinks, hai, wanna, sex, looking, chat"
88,beitrag_hoch+raus_aus_mitte+traegt_2024,154,154,151,0.024604483208929898,0.7203717563812664,0.0030492215512974673,3.795989504754968,0.008170994616729092,0.008074978672366456,9.601594436263413e-5,Position,0.5009949128923673,0.7216490656229934,0.22065415273062605,0.5555555555555557,0.16330488204458082,0.44444444444444453,"nintendo, mario, game, wii, games, smash, raving, fnaf, keemstar, zelda, play, level","fivenightsatfreddys, smashbros, Undertale, nintendo, h3h3productions, 3DS, ACTrade, gamegrumps, NintendoSwitch, splatoon",,,176,"mario, nintendo, game, switch, games, pikmin"
8,beitrag_hoch+raus_aus_mitte+traegt_2024,62,62,62,0.7239599647329941,1.1066465063772963,1.937760592745594,3.567505804254782,0.005045900381449524,0.004824104008718421,2.2179637273110178e-4,Position,0.7257753913112689,0.8235395417648395,0.09776415045357056,0.3333333333333334,0.12492898166493871,0.38888888888888895,"austin, imagesofnetwork, houston, texas, romo, year, dak, crossposting, team, game, astros, dallas","Austin, houston, cowboys, TexasRangers, Astros, Texans, rockets, ImagesOfTexas, DallasStars, LonghornNation",,,101,"san, area, bay, city, parking, beach"
87,beitrag_hoch+raus_aus_mitte+traegt_2024,66,66,66,0.7929109299385683,0.9929956655357954,2.5008356182152296,3.077835088401405,0.003225021253010127,0.003008627617581847,2.1639363542827963e-4,Position,0.7357653078902402,0.792355909075152,0.05659060118491177,-0.27777777777777785,0.11358386519546582,-0.11111111111111113,"game, characters, sfv, character, games, play, story, capcom, final, fantasy, playing, medals","StreetFighter, Kappa, FinalFantasy, FFXV, KingdomHearts, Megaten, JRPG, MortalKombat, MvC3, tales",,,186,"game, story, characters, games, persona, character"
14,beitrag_hoch,85,85,85,-0.2763461305029271,-0.7352696809031494,0.5777073611073381,1.8594632059600271,0.003218364725386729,0.0031158166730675054,1.025480523192239e-4,Position,0.4126659799142621,0.3020140742538219,-0.11065190566044025,0.055555555555555566,0.02562953669054635,0.055555555555555566,"cricket, india, bowling, kohli, dubai, pakistan, batting, test, wickets, innings, england, overs","Cricket, dubai, Nepal, Sikh, hinduism, Kuwait, bangalore, bollywood, IndianEnts, Kerala",,,45,"hai, emote, bhai, img, bhi, toh"
73,beitrag_hoch,69,69,69,0.44302262036624673,0.7670491204125955,0.7460676664783663,1.956273450777555,0.0031977296214127466,0.003085665841609113,1.1206377980363386e-4,Position,0.6492844328272164,0.7539974769435749,0.10471304411635851,0.44444444444444453,0.08800989088373601,0.1666666666666667,"engineering, printer, arduino, print, voltage, work, design, printing, power, filament, engineer, any","3Dprinting, EngineeringStudents, AskElectronics, engineering, arduino, AskEngineers, Welding, electronics, Tools, ECE",,,100,"engineering, voltage, power, radio, design, antenna"
63,beitrag_hoch,320,320,307,0.12912685588406958,0.30581610409674453,0.16398300178701575,1.5596347407528945,0.0031357000626006364,0.003132197988697249,3.502073903387773e-6,Position,0.5355180312330745,0.6141190368730726,0.07860100563999806,0.055555555555555566,0.025195543011028165,0.1666666666666667,"irl, guy, someone, right, actually, fucking, thing, something, never, man, car, looks","WTF, me_irl, interestingasfuck, NoStupidQuestions, trashy, iamverysmart, thatHappened, reactiongifs, justneckbeardthings, mildlyinfuriating",,,197,"guy, right, fucking, man, video, someone"
42,beitrag_hoch+raus_aus_mitte+traegt_2024,38,38,38,0.7825535878824421,1.1265391286146982,1.4004402236826448,2.263552340021525,0.002968932015332072,0.002823040767571256,1.458912477608165e-4,Position,0.731147239827317,0.8416391013933767,0.11049186156605972,-0.1666666666666667,0.1180519697672322,-0.11111111111111113,"aircraft, flight, flying, pilot, plane, fly, pilots, air, airport, aviation, engine, landing","flying, aviation, CombatFootage, WarshipPorn, modelmakers, MilitaryGfys, TankPorn, acecombat, DestroyedTanks, ATC",,,193,"tanks, tier, tank, game, gaijin, planes"
4,raus_aus_mitte,74,74,74,0.1732751539866402,0.6179891519609017,0.08593867528713194,1.3888670663685774,0.002874143863384222,0.0028079862340323896,6.615762935183289e-5,Position,0.5474652301696895,0.7047437599488072,0.15727852977911772,-0.11111111111111113,0.11732104724097842,0,"sydney, melbourne, imagesofnetwork, afl, australia, brisbane, year, nrl, adelaide, last, club, game","nrl, AFL, sydney, brisbane, Aleague, perth, ImagesOfAustralia, Adelaide, AusFinance, AustralianMakeup",,,4,"australia, sydney, year, melbourne, brisbane, work"
53,raus_aus_mitte,56,56,53,-0.2500058889809334,0.749953191655973,0.3201884355644946,1.4390913657036426,0.002663508443400444,0.00268415424419482,-2.0645800794375245e-5,Position,0.3999217668652585,0.7411934532939235,0.341271686428665,0.6111111111111113,0.21774831253975302,0.6111111111111113,"video, channel, videos, youtube, feedback, audio, views, content, commentary, editing, part, let","NewTubers, letsplay, youtube, LeagueOfVideos, PopularOnYouTube, YouTubeGamers, youtubers, LetsPlayVideos, unknownvideos, PromoteGamingVideos",,,NA,NA
18,raus_aus_mitte,44,44,41,0.1924858725599249,0.6220763159673239,0.0671191139873624,0.7792042454231229,0.0015867700117142944,0.0016111196240449314,-2.4349612330637076e-5,Position,0.5654463938901563,0.6893830951690457,0.12393670127888945,0.44444444444444453,0.10212946351421259,0.3333333333333334,"beer, bottle, yeast, beers, bottles, wine, bourbon, cigars, cigar, drink, brewing, brew","Homebrewing, cigars, beer, drunk, beertrade, bourbon, Scotch, cocktails, wine, beerporn",,,117,"bottle, wine, bottles, bourbon, beer, whiskey"
90,traegt_2024,46,46,46,-1.0401948431055765,-1.2352725615741995,3.6165309214333807,2.94841529786088,0.0014279052337238139,0.0011837359255604384,2.4416930816337527e-4,Position,0.21370597423801188,0.20833000492855108,-0.0053759693094607985,-0.3333333333333334,-0.03188305529200752,0.1666666666666667,"school, college, schools, math, classes, gpa, class, students, sat, year, colleges, university","college, ApplyingToCollege, IBO, APStudents, ACT, FRC, Sat, PokemonGoBoston, chanceme, Cornell",,,NA,NA
7,traegt_2024,60,60,59,1.6474866896563862,1.6220573910570049,10.389400661890308,7.160997566248212,0.0012827672318122055,8.894383323502768e-4,3.933288994619288e-4,Position,0.9248480471805982,0.9060026216632109,-0.018845425517387326,-0.27777777777777785,-0.02221704504607802,0.11111111111111113,"gun, barrel, rifle, glock, ammo, trigger, mags, rounds, stock, shoot, shooting, pistol","gundeals, Glocks, longrange, reloading, Gunsforsale, GunPorn, 1911, SigSauer, Shotguns, MosinNagant",,,18,"transaction, confirm, reply, barrel, gun, trade"
85,rein_in_mitte,36,36,35,-0.1147694628676925,-0.3698280965036064,0.05924909505687009,0.17627870676978144,2.9900408361851886e-4,2.955096093298001e-4,3.4944742887187757e-6,Position,0.4624280355459269,0.40313872697829434,-0.05928930856763254,0.055555555555555566,-0.0941756606811503,-0.38888888888888895,"fallout, skyrim, esp, game, armor, bethesda, quest, settlement, institute, dlc, vault, settlements","fo4, Fallout, skyrim, skyrimmods, FalloutMods, teslore, skyrimrequiem, Morrowind, falloutlore, ElderScrolls",,,NA,NA
1,rein_in_mitte,139,139,136,0.27255312932108505,0.2378858686060896,0.49717395159179134,0.4414667790317314,2.7413085167281987e-4,2.565766698288115e-4,1.7554181844008362e-5,Position,0.5847084744192369,0.6043831145658943,0.01967464014665743,0,-0.07856658449106751,-0.1666666666666667,"lane, team, riot, play, game, adc, damage, champion, tsm, mid, jungle, ult","leagueoflegends, summonerschool, TeamSolomid, Rivenmains, CLG, YasuoMains, Rengarmains, TeamRedditTeams, Cloud9, LeagueConnect",,,0,"adc, riot, game, lane, jinx, champ"
32,nur_groesser,33,33,33,-0.7150889215732331,-0.8055268671435732,1.2695609872712168,0.8735187657569331,1.5343732593325042e-4,7.511448378891114e-5,7.832284214433921e-5,Anteil,0.26383896739556606,0.2792937871802225,0.01545481978465646,0,0.008429988928467469,-0.055555555555555566,"trek, star, tng, federation, series, enterprise, episode, ship, starfleet, show, voyager, movie","startrek, scifi, DaystromInstitute, Stargate, TheExpanse, printSF, TheDarkTower, sciencefiction, firefly, dune",,,NA,NA
93,raus_aus_mitte,30,30,29,-0.018800868150960236,-0.2633726193709208,0.007393054442091202,0.06837376096482274,1.3719005675960473e-4,1.364436633142418e-4,7.463934453629178e-7,Position,0.4914344747347094,0.4425835232971097,-0.04885095143759971,-0.22222222222222227,0.10129676838058987,0,"steelers, game, year, team, orioles, season, nats, redskins, last, caps, defense, play","Nationals, orioles, steelers, Redskins, caps, washingtonwizards, VirginiaTech, gmu, Pitt, Magfest",,,101,"san, area, bay, city, parking, beach"
74,rein_in_mitte,69,69,69,0.2448454362053762,0.07693010067724058,0.19109388466010852,0.03678122212924729,-1.808542431542882e-4,-1.8830937209704464e-4,7.455128942756445e-6,Position,0.5695965280884863,0.5347020738599397,-0.034894454228546534,-0.11111111111111113,-0.14597713155100356,-0.5555555555555557,"house, water, property, home, wall, wire, work, agent, floor, room, any, wood","HomeImprovement, RealEstate, electricians, HVAC, Plumbing, InteriorDesign, turning, Construction, Landlord, Home",,,104,"water, house, wall, wire, work, wood"
