jahr,k,n,var_gew_obs,var_gew_null,var_gew_p,gesamt_var,eta2,eta2_null,faktor,bench_analyt
2016,95,10941,0.13609397619526867,0.00748452077247574,0.001,0.867649064577137,0.1568537116577125,0.008626207389647155,18.18339214125113,0.008592321755027423
2017,95,10850,0.16963216975632123,0.00792660159683999,0.001,0.9156306146221512,0.185262667114209,0.008656986201920545,21.400365299543694,0.008664393031615817
2018,95,10842,0.17372100007800975,0.00842173712769441,0.001,0.9742230402993354,0.1783174826419963,0.008644567803597403,20.627692059722197,0.008670786827783415
2019,95,10820,0.19207595492681528,0.00840882467480844,0.001,0.9685640737752528,0.19831001389319655,0.00868174331723111,22.842188100585776,0.00868841852296885
2020,95,10791,0.18071088245405711,0.00822262459406474,0.001,0.9397474581643426,0.19229728251358685,0.008749823713411705,21.97727506427748,0.00871177015755329
2021,95,10780,0.20047500282749783,0.00836294088836896,0.001,0.9592675738889738,0.20898757373268215,0.008718048140066591,23.971830663817123,0.00872066054364969
2022,95,10754,0.20757358252899444,0.00864786809402099,0.001,0.991108415875024,0.20943579855059127,0.00872545117719136,24.00286177728711,0.008741746489351809
2023,95,10615,0.17536573716353965,0.00826126502341903,0.001,0.9325867092925928,0.1880422864878242,0.008858441731048853,21.22746778688352,0.008856227623892972
2024,95,10476,0.21536267192890893,0.00883369708891991,0.001,0.9835930978915606,0.2189550459336948,0.008981048268695568,24.379675888936788,0.008973747016706444
