jahr,eta2_native_ls,omega2_native_ls,k_native,n,bench
2016,0.156853711657715,0.14953471564585352,95,10941,0.008592321755027423
2017,0.19619017379580828,0.18997927708761367,95,12285,0.007652230543796809
2018,0.2319207868894717,0.2247536854576784,120,12897,0.009227667493796526
2019,0.25728222866779327,0.25031724491174867,143,15312,0.009274377898243093
2020,0.26013528776516304,0.25276210352978473,165,16647,0.009852216748768473
2021,0.2816190545899515,0.2746462916884128,177,18338,0.009598080383923215
2022,0.30161012521152003,0.29419947460270846,201,19077,0.010484378276368212
2023,0.3314066911297546,0.3241003575119008,212,19550,0.010793390966289836
2024,0.3513169673356023,0.3445601780242097,200,19338,0.01029115167813001
