cluster,n_c_2016,n_c_2024,w_2016,w_2024,mittel_2016,mittel_2024,d_2016,d_2024,b_2016,b_2024,d_beitrag,w_quer,d2_quer,bei_position,bei_anteil,rest,anteil_16_pz,anteil_24_pz,treiber,n_subs,woerter,pct_2016,pct_2024,d_pct,tau_pct,ext_2016,ext_2024,d_ext,tau_ext
26,218,216,0.019925052554611095,0.020618556701030927,0.5164653981510763,1.080054694478595,0.47469044860928816,1.112790464880148,0.004489732455551908,0.02553201275728198,0.02104228030173007,0.02027180462782101,0.7318168203645317,0.02053476230238749,5.075179993425801e-4,-2.168404344971009e-19,3.2989942546097746,11.855356607810887,Position,218,"anime, manga, episode, series, show, episodes, arc, mal",0.6587597094387145,0.8042552727095313,0.1454955632708168,0.5000000000000001,0.5277976075125893,0.6557469869772709,0.12794937946468155,0.38888888888888895
17,95,95,0.008682935746275478,0.009068346697212676,0.8260080103788018,1.278107698452228,0.7842330608370137,1.3108434688537811,0.005340192112460486,0.015582236252813889,0.010242044140353403,0.008875641221744078,1.1666660467732024,0.009792398269840403,4.4964587051300145e-4,-9.75781955236954e-19,3.9239004265687245,7.235346828329459,Position,95,"london, pay, year, any, work, tax, money, years",0.7299442866056638,0.8515266569724481,0.12158237036678432,0.5000000000000001,0.6157251768163865,0.7255363597053784,0.10981118288899194,0.38888888888888895
3,1662,1438,0.15190567589799836,0.13726613211149294,0.0028231937715489978,-0.288311866258354,-0.03895175577023911,-0.2555760958568008,2.3047725796044235e-4,0.0089661058068113645,0.008735628548850922,0.14458590400474564,0.033418190025494496,0.009224855604994905,-4.892270561439854e-4,1.734723475976807e-18,0.1693515498656251,4.163258993077069,Position,1662,"sex, girl, sexy, looking, kik, cock, hot, cum",0.5063513095740106,0.44270327365714846,-0.06364803591686219,-0.5000000000000001,0.46187161206098143,0.43589547520699706,-0.025976136853984366,-0.055555555555555566
88,154,151,0.014075495841330775,0.014413898434516991,0.024604483208929898,0.7203717563812664,-0.017170466332858215,0.7531075267828196,4.1498068521637776e-6,0.008175144423581256,0.008170994616729092,0.014244697137923883,0.28373288590551154,0.008074978672366456,9.601594436263413e-5,2.2090619264392153e-18,0.0030492215512974673,3.795989504754968,Position,154,"nintendo, mario, game, wii, games, smash, raving, fnaf",0.5009949128923673,0.7216490656229934,0.22065415273062605,0.5555555555555557,0.45015705243183124,0.6134619344764121,0.16330488204458082,0.44444444444444453
8,62,62,0.005666758065990311,0.005918289423444063,0.7239599647329941,1.1066465063772963,0.682185015191206,1.1393822767788495,0.0026371754398124858,0.007683075821262009,0.005045900381449524,0.005792523744717187,0.8817841837945904,0.004824104008718421,2.2179637273110178e-4,9.486769009248164e-19,1.937760592745594,3.567505804254782,Position,62,"austin, imagesofnetwork, houston, texas, romo, year, dak, crossposting",0.7257753913112689,0.8235395417648395,0.09776415045357056,0.3333333333333334,0.5461856978958587,0.6711146795607974,0.12492898166493871,0.38888888888888895
87,66,66,0.006032355360570332,0.006300114547537228,0.7929109299385683,0.9929956655357954,0.7511359803967802,1.0257314359373486,0.003403486630936635,0.006628507883946762,0.003225021253010127,0.00616623495405378,0.8081651198583636,0.003008627617581847,2.1639363542827963e-4,2.981555974335137e-19,2.5008356182152296,3.077835088401405,Position,66,"game, characters, sfv, character, games, play, story, capcom",0.7357653078902402,0.792355909075152,0.05659060118491177,-0.27777777777777785,0.5503400132394536,0.6639238784349194,0.11358386519546582,-0.11111111111111113
14,85,85,0.007768942509825428,0.008113783886979763,-0.2763461305029271,-0.7352696809031494,-0.31812108004471523,-0.7025339105015962,7.862249185037355e-4,0.004004589643890465,0.003218364725386729,0.007941363198402596,0.29737745848674046,0.0031158166730675054,1.025480523192239e-4,-2.439454888092385e-19,0.5777073611073381,1.8594632059600271,Position,85,"cricket, india, bowling, kohli, dubai, pakistan, batting, test",0.4126659799142621,0.3020140742538219,-0.11065190566044025,0.055555555555555566,0.505022850447274,0.5306523871378204,0.02562953669054635,0.055555555555555566
73,69,69,0.006306553331505347,0.006586483390607102,0.44302262036624673,0.7670491204125955,0.4012476708244586,0.7997848908141487,0.0010153531524176643,0.004213082773830411,0.0031977296214127466,0.006446518361056225,0.40032778245832645,0.003085665841609113,1.1206377980363386e-4,-3.7947076036992655e-19,0.7460676664783663,1.956273450777555,Position,69,"engineering, printer, arduino, print, voltage, work, design, printing",0.6492844328272164,0.7539974769435749,0.10471304411635851,0.44444444444444453,0.49679610456551826,0.5848059954492543,0.08800989088373601,0.1666666666666667
63,320,307,0.02924778356640161,0.02930507827415044,0.12912685588406958,0.30581610409674453,0.08735190634228146,0.3385518744982977,2.231709874163082e-4,0.003358871050016945,0.0031357000626006364,0.029276430920276025,0.06112386363397092,0.003132197988697249,3.502073903387773e-6,-1.7787691892340307e-19,0.16398300178701575,1.5596347407528945,Position,320,"irl, guy, someone, right, actually, fucking, thing, something",0.5355180312330745,0.6141190368730726,0.07860100563999806,0.055555555555555566,0.4770773153998917,0.5022728584109198,0.025195543011028165,0.1666666666666667
42,38,38,0.003473174298510191,0.0036273386788850705,0.7825535878824421,1.1265391286146982,0.740778638340654,1.1592748990162514,0.0019059147846476256,0.0048748467999796975,0.002968932015332072,0.003550256488697631,0.9463356412554866,0.002823040767571256,1.458912477608165e-4,-2.981555974335137e-19,1.4004402236826448,2.263552340021525,Position,38,"aircraft, flight, flying, pilot, plane, fly, pilots, air",0.731147239827317,0.8416391013933767,0.11049186156605972,-0.1666666666666667,0.5875308419088885,0.7055828116761207,0.1180519697672322,-0.11111111111111113
