jahr,eta2_voll,eta2_o_any,eta2_o_mehr,eta2_o_end,n_voll,n_o_any
2016,0.156853711657715,0.14621672173514377,0.1540032793103578,0.1526616501364583,10941,9818
2017,0.18526266711420816,0.17387194781917162,0.1825303192212297,0.18090834997695224,10850,9729
2018,0.1783174826419967,0.17401717799527852,0.17565753314221177,0.17738500929742831,10842,9725
2019,0.1983100138931913,0.19256118535712077,0.19746748377945042,0.1957517747334937,10820,9702
2020,0.19229728251358927,0.1682781381750951,0.18577167459431626,0.18122947249441,10791,9673
2021,0.20898757373268612,0.2022718240152228,0.20623300499936334,0.20428398390775296,10780,9665
2022,0.20943579855058925,0.20098502512341423,0.20863699221332555,0.20602709958482454,10754,9639
2023,0.18804228648782836,0.18449645322703564,0.18680973756208988,0.18484942505806964,10615,9505
2024,0.21895504593369258,0.20333218318257196,0.216451270692926,0.21278678258619962,10476,9375
